month,warehouse,sku,forecast_units,actual_units
2025-01-01,WH-NORTH,SKU-0097,0,0
2025-01-01,WH-NORTH,SKU-0098,61,74
2025-01-01,WH-NORTH,SKU-0099,49,40
2025-01-01,WH-NORTH,SKU-0100,86,102
2025-01-01,WH-NORTH,SKU-0101,48,51
2025-01-01,WH-NORTH,SKU-0102,13,15
2025-01-01,WH-NORTH,SKU-0103,0,0
2025-01-01,WH-NORTH,SKU-0104,32,29
2025-01-01,WH-NORTH,SKU-0105,42,50
2025-01-01,WH-NORTH,SKU-0106,26,19
2025-01-01,WH-NORTH,SKU-0107,16,12
2025-01-01,WH-NORTH,SKU-0108,25,29
2025-01-01,WH-NORTH,SKU-0109,9,8
2025-01-01,WH-NORTH,SKU-0110,0,0
2025-01-01,WH-NORTH,SKU-0111,34,41
2025-01-01,WH-NORTH,SKU-0112,31,39
2025-01-01,WH-NORTH,SKU-0113,0,0
2025-01-01,WH-NORTH,SKU-0114,79,82
2025-01-01,WH-NORTH,SKU-0115,24,30
2025-01-01,WH-NORTH,SKU-0116,65,72
2025-01-01,WH-NORTH,SKU-0117,95,97
2025-01-01,WH-NORTH,SKU-0118,0,0
2025-01-01,WH-NORTH,SKU-0119,17,20
2025-01-01,WH-NORTH,SKU-0120,75,63
2025-01-01,WH-CENTRAL,SKU-0001,0,0
2025-01-01,WH-CENTRAL,SKU-0002,9,9
2025-01-01,WH-CENTRAL,SKU-0003,0,0
2025-01-01,WH-CENTRAL,SKU-0004,12,10
2025-01-01,WH-CENTRAL,SKU-0005,0,0
2025-01-01,WH-CENTRAL,SKU-0006,28,44
2025-01-01,WH-CENTRAL,SKU-0007,39,38
2025-01-01,WH-CENTRAL,SKU-0008,15,18
2025-01-01,WH-CENTRAL,SKU-0009,10,10
2025-01-01,WH-CENTRAL,SKU-0010,13,11
2025-01-01,WH-CENTRAL,SKU-0011,36,36
2025-01-01,WH-CENTRAL,SKU-0012,0,0
2025-01-01,WH-CENTRAL,SKU-0013,25,23
2025-01-01,WH-CENTRAL,SKU-0014,17,19
2025-01-01,WH-CENTRAL,SKU-0015,75,78
2025-01-01,WH-CENTRAL,SKU-0016,55,58
2025-01-01,WH-CENTRAL,SKU-0017,0,0
2025-01-01,WH-CENTRAL,SKU-0018,49,62
2025-01-01,WH-CENTRAL,SKU-0019,0,0
2025-01-01,WH-CENTRAL,SKU-0020,0,0
2025-01-01,WH-CENTRAL,SKU-0021,95,93
2025-01-01,WH-CENTRAL,SKU-0022,61,55
2025-01-01,WH-CENTRAL,SKU-0023,11,11
2025-01-01,WH-CENTRAL,SKU-0024,52,47
2025-01-01,WH-CENTRAL,SKU-0025,0,0
2025-01-01,WH-CENTRAL,SKU-0026,137,136
2025-01-01,WH-CENTRAL,SKU-0027,11,13
2025-01-01,WH-CENTRAL,SKU-0028,67,67
2025-01-01,WH-CENTRAL,SKU-0029,111,83
2025-01-01,WH-CENTRAL,SKU-0030,49,53
2025-01-01,WH-CENTRAL,SKU-0031,76,88
2025-01-01,WH-CENTRAL,SKU-0032,113,97
2025-01-01,WH-CENTRAL,SKU-0033,0,0
2025-01-01,WH-CENTRAL,SKU-0034,16,19
2025-01-01,WH-CENTRAL,SKU-0035,54,46
2025-01-01,WH-CENTRAL,SKU-0036,27,27
2025-01-01,WH-CENTRAL,SKU-0037,0,0
2025-01-01,WH-CENTRAL,SKU-0038,0,0
2025-01-01,WH-CENTRAL,SKU-0039,0,0
2025-01-01,WH-CENTRAL,SKU-0040,26,28
2025-01-01,WH-CENTRAL,SKU-0041,93,91
2025-01-01,WH-CENTRAL,SKU-0042,18,17
2025-01-01,WH-CENTRAL,SKU-0043,17,21
2025-01-01,WH-CENTRAL,SKU-0044,0,0
2025-01-01,WH-CENTRAL,SKU-0045,37,33
2025-01-01,WH-CENTRAL,SKU-0046,0,0
2025-01-01,WH-CENTRAL,SKU-0047,68,57
2025-01-01,WH-CENTRAL,SKU-0048,59,58
2025-01-01,WH-CENTRAL,SKU-0049,0,0
2025-01-01,WH-CENTRAL,SKU-0050,41,37
2025-01-01,WH-CENTRAL,SKU-0051,0,0
2025-01-01,WH-CENTRAL,SKU-0052,76,86
2025-01-01,WH-CENTRAL,SKU-0053,34,32
2025-01-01,WH-CENTRAL,SKU-0054,16,24
2025-01-01,WH-CENTRAL,SKU-0055,14,14
2025-01-01,WH-CENTRAL,SKU-0056,0,0
2025-01-01,WH-CENTRAL,SKU-0057,29,30
2025-01-01,WH-CENTRAL,SKU-0058,0,0
2025-01-01,WH-CENTRAL,SKU-0059,0,0
2025-01-01,WH-CENTRAL,SKU-0060,15,20
2025-01-01,WH-CENTRAL,SKU-0061,37,41
2025-01-01,WH-CENTRAL,SKU-0062,0,0
2025-01-01,WH-CENTRAL,SKU-0063,25,25
2025-01-01,WH-CENTRAL,SKU-0064,0,0
2025-01-01,WH-CENTRAL,SKU-0065,0,0
2025-01-01,WH-CENTRAL,SKU-0066,3,4
2025-01-01,WH-CENTRAL,SKU-0067,39,31
2025-01-01,WH-CENTRAL,SKU-0068,9,9
2025-01-01,WH-CENTRAL,SKU-0069,42,47
2025-01-01,WH-CENTRAL,SKU-0070,0,0
2025-01-01,WH-CENTRAL,SKU-0071,73,69
2025-01-01,WH-CENTRAL,SKU-0072,40,41
2025-01-01,WH-CENTRAL,SKU-0073,110,87
2025-01-01,WH-CENTRAL,SKU-0074,0,0
2025-01-01,WH-CENTRAL,SKU-0075,48,51
2025-01-01,WH-CENTRAL,SKU-0076,0,0
2025-01-01,WH-CENTRAL,SKU-0077,35,38
2025-01-01,WH-CENTRAL,SKU-0078,30,33
2025-01-01,WH-CENTRAL,SKU-0079,0,0
2025-01-01,WH-CENTRAL,SKU-0080,101,98
2025-01-01,WH-CENTRAL,SKU-0081,19,19
2025-01-01,WH-CENTRAL,SKU-0082,64,64
2025-01-01,WH-CENTRAL,SKU-0083,46,51
2025-01-01,WH-CENTRAL,SKU-0084,54,67
2025-01-01,WH-CENTRAL,SKU-0085,39,39
2025-01-01,WH-CENTRAL,SKU-0086,70,69
2025-01-01,WH-CENTRAL,SKU-0087,6,6
2025-01-01,WH-CENTRAL,SKU-0088,55,60
2025-01-01,WH-CENTRAL,SKU-0089,47,38
2025-01-01,WH-CENTRAL,SKU-0090,138,136
2025-01-01,WH-CENTRAL,SKU-0091,17,24
2025-01-01,WH-CENTRAL,SKU-0092,28,29
2025-01-01,WH-CENTRAL,SKU-0093,27,34
2025-01-01,WH-CENTRAL,SKU-0094,33,39
2025-01-01,WH-CENTRAL,SKU-0095,98,85
2025-01-01,WH-CENTRAL,SKU-0096,34,38
2025-01-01,WH-CENTRAL,SKU-0097,44,40
2025-01-01,WH-CENTRAL,SKU-0098,40,41
2025-01-01,WH-CENTRAL,SKU-0099,105,113
2025-01-01,WH-CENTRAL,SKU-0100,76,68
2025-01-01,WH-CENTRAL,SKU-0101,44,48
2025-01-01,WH-CENTRAL,SKU-0102,97,99
2025-01-01,WH-CENTRAL,SKU-0103,34,34
2025-01-01,WH-CENTRAL,SKU-0104,23,20
2025-01-01,WH-CENTRAL,SKU-0105,5,5
2025-01-01,WH-CENTRAL,SKU-0106,18,14
2025-01-01,WH-CENTRAL,SKU-0107,26,46
2025-01-01,WH-CENTRAL,SKU-0108,28,31
2025-01-01,WH-CENTRAL,SKU-0109,7,10
2025-01-01,WH-CENTRAL,SKU-0110,11,15
2025-01-01,WH-CENTRAL,SKU-0111,106,85
2025-01-01,WH-CENTRAL,SKU-0112,37,40
2025-01-01,WH-CENTRAL,SKU-0113,25,26
2025-01-01,WH-CENTRAL,SKU-0114,96,91
2025-01-01,WH-CENTRAL,SKU-0115,9,10
2025-01-01,WH-CENTRAL,SKU-0116,56,75
2025-01-01,WH-CENTRAL,SKU-0117,0,0
2025-01-01,WH-CENTRAL,SKU-0118,93,104
2025-01-01,WH-CENTRAL,SKU-0119,72,84
2025-01-01,WH-CENTRAL,SKU-0120,57,68
2025-01-01,WH-SOUTH,SKU-0001,0,0
2025-01-01,WH-SOUTH,SKU-0002,35,27
2025-01-01,WH-SOUTH,SKU-0003,0,0
2025-01-01,WH-SOUTH,SKU-0004,7,8
2025-01-01,WH-SOUTH,SKU-0005,10,9
2025-01-01,WH-SOUTH,SKU-0006,52,41
2025-01-01,WH-SOUTH,SKU-0007,43,50
2025-01-01,WH-SOUTH,SKU-0008,18,29
2025-01-01,WH-SOUTH,SKU-0009,84,62
2025-01-01,WH-SOUTH,SKU-0010,31,31
2025-01-01,WH-SOUTH,SKU-0011,18,31
2025-01-01,WH-SOUTH,SKU-0012,0,0
2025-01-01,WH-SOUTH,SKU-0013,82,76
2025-01-01,WH-SOUTH,SKU-0014,39,44
2025-01-01,WH-SOUTH,SKU-0015,1,1
2025-01-01,WH-SOUTH,SKU-0016,0,0
2025-01-01,WH-SOUTH,SKU-0017,0,0
2025-01-01,WH-SOUTH,SKU-0018,3,4
2025-01-01,WH-SOUTH,SKU-0019,0,0
2025-01-01,WH-SOUTH,SKU-0020,0,0
2025-01-01,WH-SOUTH,SKU-0021,72,96
2025-01-01,WH-SOUTH,SKU-0022,0,0
2025-01-01,WH-SOUTH,SKU-0023,7,6
2025-01-01,WH-SOUTH,SKU-0024,0,0
2025-01-01,WH-SOUTH,SKU-0025,0,0
2025-01-01,WH-SOUTH,SKU-0026,51,44
2025-01-01,WH-SOUTH,SKU-0027,40,40
2025-01-01,WH-SOUTH,SKU-0028,0,0
2025-01-01,WH-SOUTH,SKU-0029,0,0
2025-01-01,WH-SOUTH,SKU-0030,0,0
2025-01-01,WH-SOUTH,SKU-0031,0,0
2025-01-01,WH-SOUTH,SKU-0032,71,80
2025-01-01,WH-SOUTH,SKU-0033,0,0
2025-01-01,WH-SOUTH,SKU-0034,0,0
2025-01-01,WH-SOUTH,SKU-0035,38,30
2025-01-01,WH-SOUTH,SKU-0036,0,0
2025-01-01,WH-SOUTH,SKU-0037,0,0
2025-01-01,WH-SOUTH,SKU-0038,27,23
2025-01-01,WH-SOUTH,SKU-0039,0,0
2025-01-01,WH-SOUTH,SKU-0040,0,0
2025-01-01,WH-SOUTH,SKU-0041,25,24
2025-01-01,WH-SOUTH,SKU-0042,11,10
2025-01-01,WH-SOUTH,SKU-0043,0,0
2025-01-01,WH-SOUTH,SKU-0044,0,0
2025-01-01,WH-SOUTH,SKU-0045,0,0
2025-01-01,WH-SOUTH,SKU-0046,22,28
2025-01-01,WH-SOUTH,SKU-0047,45,50
2025-01-01,WH-SOUTH,SKU-0048,0,0
2025-01-01,WH-SOUTH,SKU-0049,0,0
2025-01-01,WH-SOUTH,SKU-0050,24,28
2025-01-01,WH-SOUTH,SKU-0051,61,54
2025-01-01,WH-SOUTH,SKU-0052,0,0
2025-01-01,WH-SOUTH,SKU-0053,0,0
2025-01-01,WH-SOUTH,SKU-0054,29,36
2025-01-01,WH-SOUTH,SKU-0055,0,0
2025-01-01,WH-SOUTH,SKU-0056,0,0
2025-01-01,WH-SOUTH,SKU-0057,31,27
2025-01-01,WH-SOUTH,SKU-0058,16,15
2025-01-01,WH-SOUTH,SKU-0059,0,0
2025-01-01,WH-SOUTH,SKU-0060,34,36
2025-01-01,WH-SOUTH,SKU-0061,34,31
2025-01-01,WH-SOUTH,SKU-0062,1,1
2025-01-01,WH-SOUTH,SKU-0063,94,91
2025-01-01,WH-SOUTH,SKU-0064,0,0
2025-01-01,WH-SOUTH,SKU-0065,0,0
2025-01-01,WH-SOUTH,SKU-0066,32,34
2025-01-01,WH-SOUTH,SKU-0067,37,44
2025-01-01,WH-SOUTH,SKU-0068,110,109
2025-01-01,WH-SOUTH,SKU-0069,42,43
2025-01-01,WH-SOUTH,SKU-0070,0,0
2025-01-01,WH-SOUTH,SKU-0071,0,0
2025-01-01,WH-SOUTH,SKU-0072,31,39
2025-01-01,WH-SOUTH,SKU-0073,0,0
2025-01-01,WH-SOUTH,SKU-0074,0,0
2025-01-01,WH-SOUTH,SKU-0075,20,23
2025-01-01,WH-SOUTH,SKU-0076,12,14
2025-01-01,WH-SOUTH,SKU-0077,35,30
2025-01-01,WH-SOUTH,SKU-0078,3,3
2025-01-01,WH-SOUTH,SKU-0079,51,48
2025-01-01,WH-SOUTH,SKU-0080,0,0
2025-01-01,WH-SOUTH,SKU-0081,0,0
2025-01-01,WH-SOUTH,SKU-0082,0,0
2025-01-01,WH-SOUTH,SKU-0083,20,36
2025-01-01,WH-SOUTH,SKU-0084,20,17
2025-01-01,WH-SOUTH,SKU-0085,46,62
2025-01-01,WH-SOUTH,SKU-0086,68,62
2025-01-01,WH-SOUTH,SKU-0087,80,110
2025-01-01,WH-SOUTH,SKU-0088,24,24
2025-01-01,WH-SOUTH,SKU-0089,8,10
2025-01-01,WH-SOUTH,SKU-0090,0,0
2025-01-01,WH-SOUTH,SKU-0091,11,13
2025-01-01,WH-SOUTH,SKU-0092,0,0
2025-01-01,WH-SOUTH,SKU-0093,0,0
2025-01-01,WH-SOUTH,SKU-0094,28,24
2025-01-01,WH-SOUTH,SKU-0095,17,18
2025-01-01,WH-SOUTH,SKU-0096,36,40
2025-01-01,WH-SOUTH,SKU-0097,24,23
2025-01-01,WH-SOUTH,SKU-0098,36,34
2025-01-01,WH-SOUTH,SKU-0099,0,0
2025-01-01,WH-SOUTH,SKU-0100,0,0
2025-01-01,WH-SOUTH,SKU-0101,0,0
2025-01-01,WH-SOUTH,SKU-0102,25,23
2025-01-01,WH-SOUTH,SKU-0103,27,25
2025-01-01,WH-SOUTH,SKU-0104,0,0
2025-01-01,WH-SOUTH,SKU-0105,0,0
2025-01-01,WH-SOUTH,SKU-0106,44,37
2025-01-01,WH-SOUTH,SKU-0107,15,12
2025-01-01,WH-SOUTH,SKU-0108,0,0
2025-01-01,WH-SOUTH,SKU-0109,45,41
2025-01-01,WH-SOUTH,SKU-0110,0,0
2025-01-01,WH-SOUTH,SKU-0111,0,0
2025-01-01,WH-SOUTH,SKU-0112,15,21
2025-01-01,WH-SOUTH,SKU-0113,0,0
2025-01-01,WH-SOUTH,SKU-0114,12,10
2025-01-01,WH-SOUTH,SKU-0115,49,63
2025-01-01,WH-SOUTH,SKU-0116,0,0
2025-01-01,WH-SOUTH,SKU-0117,16,11
2025-01-01,WH-SOUTH,SKU-0118,13,16
2025-01-01,WH-SOUTH,SKU-0119,56,42
2025-01-01,WH-SOUTH,SKU-0120,0,0
2025-02-01,WH-NORTH,SKU-0001,52,47
2025-02-01,WH-NORTH,SKU-0002,54,41
2025-02-01,WH-NORTH,SKU-0003,11,15
2025-02-01,WH-NORTH,SKU-0004,25,33
2025-02-01,WH-NORTH,SKU-0005,85,92
2025-02-01,WH-NORTH,SKU-0006,78,82
2025-02-01,WH-NORTH,SKU-0007,0,0
2025-02-01,WH-NORTH,SKU-0008,35,61
2025-02-01,WH-NORTH,SKU-0009,0,0
2025-02-01,WH-NORTH,SKU-0010,4,4
2025-02-01,WH-NORTH,SKU-0011,0,0
2025-02-01,WH-NORTH,SKU-0012,2,3
2025-02-01,WH-NORTH,SKU-0013,51,72
2025-02-01,WH-NORTH,SKU-0014,32,30
2025-02-01,WH-NORTH,SKU-0015,13,22
2025-02-01,WH-NORTH,SKU-0016,35,35
2025-02-01,WH-NORTH,SKU-0017,73,60
2025-02-01,WH-NORTH,SKU-0018,15,17
2025-02-01,WH-NORTH,SKU-0019,18,16
2025-02-01,WH-NORTH,SKU-0020,23,20
2025-02-01,WH-NORTH,SKU-0021,30,31
2025-02-01,WH-NORTH,SKU-0022,2,2
2025-02-01,WH-NORTH,SKU-0023,70,78
2025-02-01,WH-NORTH,SKU-0024,40,48
2025-02-01,WH-NORTH,SKU-0025,18,22
2025-02-01,WH-NORTH,SKU-0026,0,0
2025-02-01,WH-NORTH,SKU-0027,10,8
2025-02-01,WH-NORTH,SKU-0028,89,87
2025-02-01,WH-NORTH,SKU-0029,0,0
2025-02-01,WH-NORTH,SKU-0030,26,31
2025-02-01,WH-NORTH,SKU-0031,0,0
2025-02-01,WH-NORTH,SKU-0032,68,72
2025-02-01,WH-NORTH,SKU-0033,0,0
2025-02-01,WH-NORTH,SKU-0034,35,35
2025-02-01,WH-NORTH,SKU-0035,39,43
2025-02-01,WH-NORTH,SKU-0036,0,0
2025-02-01,WH-NORTH,SKU-0037,0,0
2025-02-01,WH-NORTH,SKU-0038,48,51
2025-02-01,WH-NORTH,SKU-0039,20,20
2025-02-01,WH-NORTH,SKU-0040,7,5
2025-02-01,WH-NORTH,SKU-0041,26,30
2025-02-01,WH-NORTH,SKU-0042,9,12
2025-02-01,WH-NORTH,SKU-0043,58,51
2025-02-01,WH-NORTH,SKU-0044,42,39
2025-02-01,WH-NORTH,SKU-0045,38,43
2025-02-01,WH-NORTH,SKU-0046,11,15
2025-02-01,WH-NORTH,SKU-0047,50,44
2025-02-01,WH-NORTH,SKU-0048,39,41
2025-02-01,WH-NORTH,SKU-0049,10,10
2025-02-01,WH-NORTH,SKU-0050,29,28
2025-02-01,WH-NORTH,SKU-0051,14,12
2025-02-01,WH-NORTH,SKU-0052,0,0
2025-02-01,WH-NORTH,SKU-0053,11,9
2025-02-01,WH-NORTH,SKU-0054,21,41
2025-02-01,WH-NORTH,SKU-0055,46,43
2025-02-01,WH-NORTH,SKU-0056,0,0
2025-02-01,WH-NORTH,SKU-0057,55,57
2025-02-01,WH-NORTH,SKU-0058,0,0
2025-02-01,WH-NORTH,SKU-0059,13,12
2025-02-01,WH-NORTH,SKU-0060,21,21
2025-02-01,WH-NORTH,SKU-0061,42,38
2025-02-01,WH-NORTH,SKU-0062,53,53
2025-02-01,WH-NORTH,SKU-0063,14,13
2025-02-01,WH-NORTH,SKU-0064,15,13
2025-02-01,WH-NORTH,SKU-0065,8,10
2025-02-01,WH-NORTH,SKU-0066,55,50
2025-02-01,WH-NORTH,SKU-0067,33,36
2025-02-01,WH-NORTH,SKU-0068,0,0
2025-02-01,WH-NORTH,SKU-0069,45,42
2025-02-01,WH-NORTH,SKU-0070,0,0
2025-02-01,WH-NORTH,SKU-0071,7,10
2025-02-01,WH-NORTH,SKU-0072,41,59
2025-02-01,WH-NORTH,SKU-0073,60,50
2025-02-01,WH-NORTH,SKU-0074,0,0
2025-02-01,WH-NORTH,SKU-0075,54,54
2025-02-01,WH-NORTH,SKU-0076,35,38
2025-02-01,WH-NORTH,SKU-0077,21,20
2025-02-01,WH-NORTH,SKU-0078,25,29
2025-02-01,WH-NORTH,SKU-0079,38,38
2025-02-01,WH-NORTH,SKU-0080,25,28
2025-02-01,WH-NORTH,SKU-0081,45,76
2025-02-01,WH-NORTH,SKU-0082,0,0
2025-02-01,WH-NORTH,SKU-0083,85,77
2025-02-01,WH-NORTH,SKU-0084,80,89
2025-02-01,WH-NORTH,SKU-0085,78,77
2025-02-01,WH-NORTH,SKU-0086,30,29
2025-02-01,WH-NORTH,SKU-0087,25,26
2025-02-01,WH-NORTH,SKU-0088,0,0
2025-02-01,WH-NORTH,SKU-0089,67,67
2025-02-01,WH-NORTH,SKU-0090,28,32
2025-02-01,WH-NORTH,SKU-0091,0,0
2025-02-01,WH-NORTH,SKU-0092,0,0
2025-02-01,WH-NORTH,SKU-0093,0,0
2025-02-01,WH-NORTH,SKU-0094,13,13
2025-02-01,WH-NORTH,SKU-0095,0,0
2025-02-01,WH-NORTH,SKU-0096,34,36
2025-02-01,WH-NORTH,SKU-0097,16,19
2025-02-01,WH-NORTH,SKU-0098,5,7
2025-02-01,WH-NORTH,SKU-0099,75,83
2025-02-01,WH-NORTH,SKU-0100,88,84
2025-02-01,WH-NORTH,SKU-0101,1,1
2025-02-01,WH-NORTH,SKU-0102,86,83
2025-02-01,WH-NORTH,SKU-0103,10,12
2025-02-01,WH-NORTH,SKU-0104,20,26
2025-02-01,WH-NORTH,SKU-0105,0,0
2025-02-01,WH-NORTH,SKU-0106,34,33
2025-02-01,WH-NORTH,SKU-0107,62,56
2025-02-01,WH-NORTH,SKU-0108,0,0
2025-02-01,WH-NORTH,SKU-0109,46,41
2025-02-01,WH-NORTH,SKU-0110,40,38
2025-02-01,WH-NORTH,SKU-0111,52,64
2025-02-01,WH-NORTH,SKU-0112,64,66
2025-02-01,WH-NORTH,SKU-0113,12,14
2025-02-01,WH-NORTH,SKU-0114,47,31
2025-02-01,WH-NORTH,SKU-0115,115,79
2025-02-01,WH-NORTH,SKU-0116,42,37
2025-02-01,WH-NORTH,SKU-0117,62,50
2025-02-01,WH-NORTH,SKU-0118,51,55
2025-02-01,WH-NORTH,SKU-0119,0,0
2025-02-01,WH-NORTH,SKU-0120,0,0
2025-02-01,WH-CENTRAL,SKU-0001,85,80
2025-02-01,WH-CENTRAL,SKU-0002,61,64
2025-02-01,WH-CENTRAL,SKU-0003,0,0
2025-02-01,WH-CENTRAL,SKU-0004,32,32
2025-02-01,WH-CENTRAL,SKU-0005,0,0
2025-02-01,WH-CENTRAL,SKU-0006,31,24
2025-02-01,WH-CENTRAL,SKU-0007,9,14
2025-02-01,WH-CENTRAL,SKU-0008,24,26
2025-02-01,WH-CENTRAL,SKU-0009,31,27
2025-02-01,WH-CENTRAL,SKU-0010,20,26
2025-02-01,WH-CENTRAL,SKU-0011,15,15
2025-02-01,WH-CENTRAL,SKU-0012,20,18
2025-02-01,WH-CENTRAL,SKU-0013,67,55
2025-02-01,WH-CENTRAL,SKU-0014,3,3
2025-02-01,WH-CENTRAL,SKU-0015,57,50
2025-02-01,WH-CENTRAL,SKU-0016,0,0
2025-02-01,WH-CENTRAL,SKU-0017,86,78
2025-02-01,WH-CENTRAL,SKU-0018,54,62
2025-02-01,WH-CENTRAL,SKU-0019,64,47
2025-02-01,WH-CENTRAL,SKU-0020,0,0
2025-02-01,WH-CENTRAL,SKU-0021,63,68
2025-02-01,WH-CENTRAL,SKU-0022,65,56
2025-02-01,WH-CENTRAL,SKU-0023,50,54
2025-02-01,WH-CENTRAL,SKU-0024,57,53
2025-02-01,WH-CENTRAL,SKU-0025,74,67
2025-02-01,WH-CENTRAL,SKU-0026,117,100
2025-02-01,WH-CENTRAL,SKU-0027,44,40
2025-02-01,WH-CENTRAL,SKU-0028,30,27
2025-02-01,WH-CENTRAL,SKU-0029,25,27
2025-02-01,WH-CENTRAL,SKU-0030,38,34
2025-02-01,WH-CENTRAL,SKU-0031,73,84
2025-02-01,WH-CENTRAL,SKU-0032,5,6
2025-02-01,WH-CENTRAL,SKU-0033,16,20
2025-02-01,WH-CENTRAL,SKU-0034,75,72
2025-02-01,WH-CENTRAL,SKU-0035,27,30
2025-02-01,WH-CENTRAL,SKU-0036,0,0
2025-02-01,WH-CENTRAL,SKU-0037,0,0
2025-02-01,WH-CENTRAL,SKU-0038,18,24
2025-02-01,WH-CENTRAL,SKU-0039,80,81
