shipment_id,order_id,carrier,warehouse,ship_date,delivery_date,promised_date,shipment_weight_kg,freight_cost,handling_cost,exception_cost,on_time
S000052,O000052,CarrierC,WH-CENTRAL,2025-01-01,2025-01-03,2025-01-03,513.41,205.37,7.58,0.0,True
S000053,O000053,CarrierA,WH-CENTRAL,2025-11-13,2025-11-17,2025-11-17,1209.34,547.53,17.96,0.0,True
S000054,O000054,CarrierD,WH-NORTH,2025-07-02,2025-07-07,2025-07-05,791.84,402.28,16.6,40.46,False
S000055,O000055,CarrierD,WH-CENTRAL,2025-11-03,2025-11-05,2025-11-03,316.55,187.3,9.38,41.91,False
S000056,O000056,CarrierB,WH-SOUTH,2025-11-21,2025-11-23,2025-11-23,320.78,134.09,13.6,0.0,True
S000057,O000057,CarrierC,WH-CENTRAL,2025-07-03,2025-07-03,2025-07-03,624.78,392.64,14.66,0.0,True
S000058,O000058,CarrierC,WH-CENTRAL,2025-05-15,2025-05-18,2025-05-18,1479.17,910.19,6.06,0.0,True
S000059,O000059,CarrierB,WH-CENTRAL,2025-11-27,2025-11-27,2025-11-27,1047.36,834.73,16.27,0.0,True
S000060,O000060,CarrierC,WH-CENTRAL,2025-05-11,2025-05-14,2025-05-14,906.23,707.95,16.84,0.0,True
S000061,O000061,CarrierA,WH-SOUTH,2025-01-21,2025-01-22,2025-01-22,330.02,200.35,8.45,0.0,True
S000062,O000062,CarrierA,WH-CENTRAL,2025-06-23,2025-06-30,2025-06-30,690.08,590.42,13.9,0.0,True
S000063,O000063,CarrierB,WH-SOUTH,2025-03-27,2025-03-29,2025-03-29,1056.33,767.13,12.5,0.0,True
S000064,O000064,CarrierC,WH-CENTRAL,2025-10-17,2025-10-22,2025-10-22,515.5,357.87,8.21,0.0,True
S000065,O000065,CarrierD,WH-SOUTH,2025-01-06,2025-01-08,2025-01-08,879.24,339.3,5.68,0.0,True
S000066,O000066,CarrierC,WH-CENTRAL,2025-07-24,2025-07-25,2025-07-25,336.89,159.66,9.66,0.0,True
S000067,O000067,CarrierB,WH-SOUTH,2025-09-16,2025-09-25,2025-09-20,410.62,223.22,12.33,31.65,False
S000068,O000068,CarrierA,WH-CENTRAL,2025-03-08,2025-03-10,2025-03-09,961.44,536.33,13.45,21.38,False
S000069,O000069,CarrierB,WH-NORTH,2025-09-20,2025-09-22,2025-09-22,620.33,410.33,8.92,0.0,True
S000070,O000070,CarrierC,WH-CENTRAL,2025-03-08,2025-03-13,2025-03-13,399.36,369.67,9.12,0.0,True
S000071,O000071,CarrierB,WH-NORTH,2025-03-13,2025-03-18,2025-03-18,545.85,321.86,4.58,0.0,True
S000072,O000072,CarrierA,WH-CENTRAL,2025-08-13,2025-08-16,2025-08-16,572.25,455.46,9.54,0.0,True
S000073,O000073,CarrierB,WH-NORTH,2025-07-03,2025-07-07,2025-07-07,0.96,23.52,16.85,0.0,True
S000074,O000074,CarrierA,WH-NORTH,2025-08-14,2025-08-18,2025-08-18,878.14,438.39,11.38,0.0,True
S000075,O000075,CarrierD,WH-NORTH,2025-03-15,2025-03-20,2025-03-20,900.66,697.77,4.08,0.0,True
S000076,O000076,CarrierC,WH-NORTH,2025-09-15,2025-09-23,2025-09-20,2219.46,1194.72,14.64,27.37,False
S000077,O000077,CarrierC,WH-CENTRAL,2025-06-23,2025-06-23,2025-06-23,648.28,447.04,10.62,0.0,True
S000078,O000078,CarrierB,WH-CENTRAL,2025-01-28,2025-02-01,2025-02-01,335.6,226.6,6.23,0.0,True
S000079,O000079,CarrierB,WH-NORTH,2025-01-10,2025-01-15,2025-01-15,443.62,295.95,12.6,0.0,True
S000080,O000080,CarrierB,WH-NORTH,2025-01-13,2025-01-19,2025-01-19,338.04,298.18,5.48,0.0,True
S000081,O000081,CarrierA,WH-CENTRAL,2025-10-27,2025-10-30,2025-10-29,350.55,204.78,6.18,17.76,False
S000082,O000082,CarrierC,WH-CENTRAL,2025-09-19,2025-09-20,2025-09-20,958.15,672.06,9.24,0.0,True
S000083,O000083,CarrierA,WH-CENTRAL,2025-11-29,2025-12-01,2025-12-01,998.79,794.55,12.9,0.0,True
S000084,O000084,CarrierB,WH-CENTRAL,2025-10-16,2025-10-16,2025-10-15,628.78,497.24,13.44,20.4,False
S000085,O000085,CarrierA,WH-CENTRAL,2025-02-08,2025-02-13,2025-02-13,356.82,327.84,12.91,0.0,True
S000086,O000086,CarrierA,WH-CENTRAL,2025-10-12,2025-10-19,2025-10-19,801.35,659.75,13.78,0.0,True
S000087,O000087,CarrierD,WH-NORTH,2025-09-17,2025-09-24,2025-09-24,447.76,330.03,4.84,0.0,True
S000088,O000088,CarrierB,WH-SOUTH,2025-10-03,2025-10-08,2025-10-05,232.75,164.96,17.68,33.2,False
S000089,O000089,CarrierB,WH-CENTRAL,2025-12-17,2025-12-23,2025-12-21,683.45,304.57,14.94,19.19,False
S000090,O000090,CarrierA,WH-SOUTH,2025-09-19,2025-09-19,2025-09-19,900.59,684.21,6.18,0.0,True
S000091,O000091,CarrierC,WH-NORTH,2025-04-30,2025-05-04,2025-05-04,971.3,384.98,11.48,0.0,True
S000092,O000092,CarrierD,WH-CENTRAL,2025-01-28,2025-02-03,2025-02-02,127.98,128.99,16.61,18.37,False
S000093,O000093,CarrierA,WH-NORTH,2025-10-28,2025-10-30,2025-10-30,746.55,444.33,5.66,0.0,True
S000094,O000094,CarrierA,WH-NORTH,2025-04-27,2025-04-29,2025-04-28,911.4,712.72,12.91,56.19,False
S000095,O000095,CarrierA,WH-CENTRAL,2025-12-21,2025-12-26,2025-12-27,286.81,136.28,17.74,0.0,True
S000096,O000096,CarrierB,WH-SOUTH,2025-09-12,2025-09-16,2025-09-16,598.2,406.03,5.86,0.0,True
S000097,O000097,CarrierB,WH-SOUTH,2025-08-26,2025-09-02,2025-08-31,145.06,103.45,4.65,19.39,False
S000098,O000098,CarrierB,WH-SOUTH,2025-01-09,2025-01-12,2025-01-11,434.95,306.04,15.28,23.53,False
S000099,O000099,CarrierB,WH-NORTH,2025-11-28,2025-12-05,2025-12-03,1610.22,1132.39,8.42,53.1,False
S000100,O000100,CarrierA,WH-NORTH,2025-04-25,2025-04-26,2025-04-26,528.0,449.55,12.87,0.0,True
S000101,O000101,CarrierA,WH-CENTRAL,2025-04-25,2025-05-01,2025-04-30,342.28,230.89,5.32,24.45,False
S000102,O000102,CarrierA,WH-CENTRAL,2025-06-12,2025-06-12,2025-06-12,297.92,266.1,9.8,0.0,True
S000103,O000103,CarrierA,WH-CENTRAL,2025-11-14,2025-11-19,2025-11-16,192.64,153.01,8.89,40.75,False
S000104,O000104,CarrierC,WH-CENTRAL,2025-07-30,2025-07-31,2025-07-31,487.07,398.65,14.6,0.0,True
S000105,O000105,CarrierB,WH-NORTH,2025-09-27,2025-09-29,2025-09-29,336.76,165.83,8.62,0.0,True
S000106,O000106,CarrierC,WH-NORTH,2025-09-19,2025-09-21,2025-09-21,16.1,40.29,13.2,0.0,True
S000107,O000107,CarrierD,WH-CENTRAL,2025-03-07,2025-03-09,2025-03-09,325.4,221.06,5.36,0.0,True
S000108,O000108,CarrierC,WH-CENTRAL,2025-12-05,2025-12-07,2025-12-07,609.05,309.62,15.21,0.0,True
S000109,O000109,CarrierC,WH-CENTRAL,2025-11-14,2025-11-16,2025-11-16,650.69,291.42,7.22,0.0,True
S000110,O000110,CarrierC,WH-SOUTH,2025-07-29,2025-07-31,2025-07-31,189.99,134.27,17.5,0.0,True
S000111,O000111,CarrierC,WH-CENTRAL,2025-10-12,2025-10-16,2025-10-14,1091.86,839.09,13.91,52.8,False
S000112,O000112,CarrierA,WH-SOUTH,2025-12-02,2025-12-04,2025-12-04,637.44,337.11,9.27,0.0,True
S000113,O000113,CarrierB,WH-CENTRAL,2025-07-16,2025-07-16,2025-07-15,362.93,156.72,10.38,32.73,False
S000114,O000114,CarrierC,WH-NORTH,2025-06-29,2025-07-01,2025-07-02,1080.58,763.7,14.42,0.0,True
S000115,O000115,CarrierA,WH-CENTRAL,2025-11-19,2025-11-22,2025-11-22,206.1,193.38,14.3,0.0,True
S000116,O000116,CarrierA,WH-CENTRAL,2025-02-09,2025-02-14,2025-02-14,388.71,197.95,10.38,0.0,True
S000117,O000117,CarrierB,WH-CENTRAL,2025-04-20,2025-04-24,2025-04-23,548.67,424.76,10.27,7.11,False
S000118,O000118,CarrierB,WH-SOUTH,2025-03-14,2025-03-20,2025-03-19,25.52,45.12,9.62,28.6,False
S000119,O000119,CarrierB,WH-CENTRAL,2025-01-25,2025-01-29,2025-01-26,39.55,36.7,7.81,24.83,False
S000120,O000120,CarrierB,WH-CENTRAL,2025-03-18,2025-03-20,2025-03-20,13.16,29.29,8.91,0.0,True
S000121,O000121,CarrierB,WH-SOUTH,2025-08-27,2025-08-30,2025-08-30,1069.15,791.79,10.98,0.0,True
S000122,O000122,CarrierC,WH-SOUTH,2025-11-04,2025-11-07,2025-11-07,864.68,707.43,7.38,0.0,True
S000123,O000123,CarrierB,WH-NORTH,2025-01-26,2025-02-01,2025-02-01,983.18,640.89,8.88,0.0,True
S000124,O000124,CarrierC,WH-CENTRAL,2025-10-19,2025-10-27,2025-10-22,484.54,430.07,12.93,51.29,False
S000125,O000125,CarrierC,WH-CENTRAL,2025-10-04,2025-10-09,2025-10-09,500.02,408.34,11.74,0.0,True
S000126,O000126,CarrierA,WH-CENTRAL,2025-05-12,2025-05-12,2025-05-11,1073.97,498.01,16.93,51.21,False
S000127,O000127,CarrierC,WH-SOUTH,2025-06-22,2025-06-29,2025-06-29,846.85,414.73,14.75,0.0,True
S000128,O000128,CarrierC,WH-CENTRAL,2025-05-02,2025-05-08,2025-05-09,324.15,156.66,11.6,0.0,True
S000129,O000129,CarrierC,WH-CENTRAL,2025-04-01,2025-04-07,2025-04-05,293.56,237.79,6.36,46.75,False
S000130,O000130,CarrierC,WH-NORTH,2025-08-21,2025-08-24,2025-08-24,716.53,521.01,15.68,0.0,True
S000131,O000131,CarrierD,WH-NORTH,2025-05-06,2025-05-12,2025-05-11,409.0,209.12,5.49,19.79,False
S000132,O000132,CarrierA,WH-SOUTH,2025-11-18,2025-11-25,2025-11-24,811.96,587.48,11.88,11.46,False
S000133,O000133,CarrierB,WH-SOUTH,2025-04-27,2025-05-03,2025-05-02,331.69,232.34,8.87,53.86,False
S000134,O000134,CarrierB,WH-SOUTH,2025-09-30,2025-10-03,2025-10-03,1148.92,730.82,15.96,0.0,True
S000135,O000135,CarrierC,WH-CENTRAL,2025-08-07,2025-08-08,2025-08-08,102.08,73.52,4.27,0.0,True
S000136,O000136,CarrierA,WH-SOUTH,2025-07-08,2025-07-08,2025-07-07,782.6,623.51,10.35,59.5,False
S000137,O000137,CarrierA,WH-CENTRAL,2025-04-28,2025-05-02,2025-05-01,930.23,797.52,15.64,39.63,False
S000138,O000138,CarrierB,WH-CENTRAL,2025-12-20,2025-12-25,2025-12-23,62.4,54.67,7.21,37.51,False
S000139,O000139,CarrierB,WH-CENTRAL,2025-07-16,2025-07-19,2025-07-19,262.5,142.83,16.78,0.0,True
S000140,O000140,CarrierB,WH-NORTH,2025-08-13,2025-08-17,2025-08-17,1013.41,853.5,12.5,0.0,True
S000141,O000141,CarrierA,WH-NORTH,2025-08-02,2025-08-04,2025-08-04,74.36,72.57,12.54,0.0,True
S000142,O000142,CarrierD,WH-CENTRAL,2025-03-03,2025-03-10,2025-03-10,391.8,317.3,10.48,0.0,True
S000143,O000143,CarrierC,WH-NORTH,2025-06-21,2025-06-23,2025-06-23,25.52,39.97,10.3,0.0,True
S000144,O000144,CarrierD,WH-CENTRAL,2025-08-02,2025-08-03,2025-08-03,386.88,282.39,8.37,0.0,True
S000145,O000145,CarrierA,WH-CENTRAL,2025-02-21,2025-02-26,2025-02-26,124.39,123.77,17.64,0.0,True
S000146,O000146,CarrierC,WH-CENTRAL,2025-07-03,2025-07-08,2025-07-08,887.67,413.88,9.04,0.0,True
S000147,O000147,CarrierA,WH-CENTRAL,2025-06-12,2025-06-17,2025-06-17,582.12,473.06,4.45,0.0,True
S000148,O000148,CarrierB,WH-CENTRAL,2025-05-05,2025-05-07,2025-05-07,345.21,154.01,14.63,0.0,True
S000149,O000149,CarrierC,WH-CENTRAL,2025-06-11,2025-06-13,2025-06-13,223.53,225.99,11.29,0.0,True
S000150,O000150,CarrierC,WH-SOUTH,2025-11-07,2025-11-09,2025-11-09,952.53,733.29,6.72,0.0,True
S000151,O000151,CarrierB,WH-SOUTH,2025-02-16,2025-02-18,2025-02-18,380.37,205.76,16.96,0.0,True
S000152,O000152,CarrierC,WH-CENTRAL,2025-08-03,2025-08-07,2025-08-06,1109.78,673.46,15.64,28.24,False
S000153,O000153,CarrierC,WH-NORTH,2025-01-03,2025-01-06,2025-01-06,893.14,447.66,12.09,0.0,True
S000154,O000154,CarrierD,WH-NORTH,2025-08-05,2025-08-05,2025-08-05,122.98,118.32,7.1,0.0,True
S000155,O000155,CarrierC,WH-SOUTH,2025-03-18,2025-03-24,2025-03-21,344.26,255.8,17.55,40.25,False
S000156,O000156,CarrierA,WH-NORTH,2025-03-03,2025-03-04,2025-03-03,625.24,469.25,15.47,29.06,False
S000157,O000157,CarrierD,WH-SOUTH,2025-01-22,2025-01-25,2025-01-25,624.77,283.93,10.63,0.0,True
S000158,O000158,CarrierA,WH-SOUTH,2025-04-23,2025-04-25,2025-04-25,87.4,56.44,14.63,0.0,True
S000159,O000159,CarrierC,WH-CENTRAL,2025-06-22,2025-06-25,2025-06-25,232.08,182.42,10.12,0.0,True
S000160,O000160,CarrierC,WH-SOUTH,2025-09-23,2025-09-25,2025-09-25,263.65,189.52,17.76,0.0,True
S000161,O000161,CarrierB,WH-SOUTH,2025-12-20,2025-12-21,2025-12-21,645.62,265.66,17.31,0.0,True
S000162,O000162,CarrierC,WH-CENTRAL,2025-08-26,2025-08-27,2025-08-27,245.61,223.27,10.18,0.0,True
S000163,O000163,CarrierC,WH-CENTRAL,2025-04-29,2025-05-05,2025-05-04,392.82,321.26,14.59,12.38,False
S000164,O000164,CarrierC,WH-CENTRAL,2025-11-04,2025-11-05,2025-11-05,905.46,654.16,6.24,0.0,True
S000165,O000165,CarrierC,WH-SOUTH,2025-03-11,2025-03-15,2025-03-14,145.08,93.86,7.65,57.55,False
S000166,O000166,CarrierA,WH-SOUTH,2025-07-01,2025-07-05,2025-07-05,50.1,51.85,4.92,0.0,True
S000167,O000167,CarrierA,WH-NORTH,2025-09-26,2025-09-29,2025-09-28,351.13,263.01,16.39,29.92,False
S000168,O000168,CarrierC,WH-NORTH,2025-05-04,2025-05-06,2025-05-06,874.11,366.57,10.65,0.0,True
S000169,O000169,CarrierB,WH-NORTH,2025-02-10,2025-02-16,2025-02-15,652.06,375.61,6.85,35.92,False
S000170,O000170,CarrierB,WH-NORTH,2025-07-30,2025-08-05,2025-08-05,717.05,588.9,17.11,0.0,True
S000171,O000171,CarrierA,WH-CENTRAL,2025-09-13,2025-09-19,2025-09-18,265.62,106.5,17.34,13.79,False
S000172,O000172,CarrierC,WH-CENTRAL,2025-03-03,2025-03-05,2025-03-05,645.54,393.93,4.22,0.0,True
S000173,O000173,CarrierA,WH-NORTH,2025-11-19,2025-11-26,2025-11-21,1086.24,408.58,6.18,49.84,False
S000174,O000174,CarrierA,WH-NORTH,2025-04-29,2025-05-03,2025-05-03,52.92,82.67,17.66,0.0,True
S000175,O000175,CarrierB,WH-NORTH,2025-12-26,2025-12-31,2025-12-31,618.56,431.61,8.74,0.0,True
S000176,O000176,CarrierC,WH-NORTH,2025-04-08,2025-04-14,2025-04-13,887.97,356.06,13.44,24.62,False
S000177,O000177,CarrierB,WH-SOUTH,2025-07-03,2025-07-10,2025-07-10,1029.33,826.56,17.5,0.0,True
S000178,O000178,CarrierC,WH-NORTH,2025-03-04,2025-03-08,2025-03-07,165.83,164.51,8.28,14.35,False
S000179,O000179,CarrierC,WH-CENTRAL,2025-04-24,2025-04-26,2025-04-26,744.44,490.79,16.66,0.0,True
S000180,O000180,CarrierD,WH-CENTRAL,2025-09-10,2025-09-22,2025-09-17,1171.05,951.98,11.66,34.42,False
S000181,O000181,CarrierB,WH-SOUTH,2025-01-02,2025-01-09,2025-01-09,596.96,491.68,16.12,0.0,True
S000182,O000182,CarrierA,WH-CENTRAL,2025-05-27,2025-06-01,2025-05-31,168.4,132.98,14.95,46.29,False
S000183,O000183,CarrierA,WH-NORTH,2025-05-24,2025-05-29,2025-05-29,369.21,179.15,14.96,0.0,True
S000184,O000184,CarrierD,WH-NORTH,2025-03-27,2025-03-28,2025-03-28,561.14,272.44,15.39,0.0,True
S000185,O000185,CarrierD,WH-CENTRAL,2025-10-23,2025-10-26,2025-10-26,55.11,72.19,17.77,0.0,True
S000186,O000186,CarrierB,WH-CENTRAL,2025-09-02,2025-09-08,2025-09-08,651.98,348.16,8.48,0.0,True
S000187,O000187,CarrierB,WH-CENTRAL,2025-01-15,2025-01-18,2025-01-18,1488.36,1017.65,17.86,0.0,True
S000188,O000188,CarrierA,WH-SOUTH,2025-04-21,2025-04-22,2025-04-21,2016.17,1327.14,6.27,18.29,False
S000189,O000189,CarrierC,WH-NORTH,2025-03-21,2025-03-22,2025-03-22,1179.32,728.3,13.15,0.0,True
S000190,O000190,CarrierB,WH-NORTH,2025-02-05,2025-02-08,2025-02-08,1305.02,1092.06,9.96,0.0,True
S000191,O000191,CarrierB,WH-SOUTH,2025-09-05,2025-09-05,2025-09-04,408.9,274.02,15.84,44.06,False
S000192,O000192,CarrierA,WH-CENTRAL,2025-06-14,2025-06-20,2025-06-20,549.6,316.97,11.83,0.0,True
S000193,O000193,CarrierB,WH-CENTRAL,2025-09-04,2025-09-04,2025-09-04,839.31,627.53,15.95,0.0,True
S000194,O000194,CarrierB,WH-SOUTH,2025-08-11,2025-08-14,2025-08-14,717.82,624.11,14.12,0.0,True
S000195,O000195,CarrierC,WH-NORTH,2025-12-20,2025-12-26,2025-12-25,1235.38,560.65,7.22,29.69,False
S000196,O000196,CarrierD,WH-CENTRAL,2025-06-23,2025-06-27,2025-06-27,32.76,49.26,14.3,0.0,True
S000197,O000197,CarrierA,WH-NORTH,2025-02-18,2025-02-19,2025-02-17,105.68,92.7,5.99,41.93,False
S000198,O000198,CarrierA,WH-CENTRAL,2025-02-09,2025-02-14,2025-02-12,1216.41,533.76,6.91,35.64,False
S000199,O000199,CarrierA,WH-CENTRAL,2025-03-11,2025-03-14,2025-03-14,572.29,404.43,4.77,0.0,True
S000200,O000200,CarrierB,WH-CENTRAL,2025-12-13,2025-12-15,2025-12-15,12.76,36.45,14.36,0.0,True
S000201,O000201,CarrierA,WH-CENTRAL,2025-03-25,2025-04-01,2025-03-27,1014.43,654.6,11.81,5.56,False
S000202,O000202,CarrierA,WH-CENTRAL,2025-07-02,2025-07-06,2025-07-06,378.45,292.97,9.85,0.0,True
S000203,O000203,CarrierC,WH-SOUTH,2025-12-26,2026-01-05,2026-01-02,568.32,488.9,10.02,25.89,False
S000204,O000204,CarrierA,WH-CENTRAL,2025-06-16,2025-06-16,2025-06-16,1013.92,386.83,13.46,0.0,True
S000205,O000205,CarrierA,WH-CENTRAL,2025-06-08,2025-06-13,2025-06-13,196.56,96.52,7.37,0.0,True
S000206,O000206,CarrierB,WH-NORTH,2025-03-06,2025-03-09,2025-03-09,122.46,88.83,10.03,0.0,True
S000207,O000207,CarrierC,WH-CENTRAL,2025-03-05,2025-03-09,2025-03-10,35.91,38.35,9.18,0.0,True
S000208,O000208,CarrierB,WH-CENTRAL,2025-01-23,2025-01-25,2025-01-25,779.41,339.82,17.4,0.0,True
S000209,O000209,CarrierA,WH-CENTRAL,2025-12-26,2025-12-30,2025-12-30,412.79,342.23,6.19,0.0,True
S000210,O000210,CarrierB,WH-CENTRAL,2025-03-16,2025-03-21,2025-03-18,91.78,91.0,16.19,48.06,False
S000211,O000211,CarrierA,WH-NORTH,2025-02-21,2025-02-21,2025-02-21,398.2,231.43,6.74,0.0,True
S000212,O000212,CarrierC,WH-NORTH,2025-08-18,2025-08-19,2025-08-19,53.91,68.19,13.37,0.0,True
S000213,O000213,CarrierA,WH-CENTRAL,2025-03-12,2025-03-15,2025-03-15,644.08,498.27,7.23,0.0,True
S000214,O000214,CarrierA,WH-SOUTH,2025-02-07,2025-02-09,2025-02-09,535.91,366.93,6.53,0.0,True
S000215,O000215,CarrierD,WH-NORTH,2025-07-07,2025-07-12,2025-07-12,509.86,300.97,17.54,0.0,True
S000216,O000216,CarrierB,WH-CENTRAL,2025-09-23,2025-09-27,2025-09-25,489.0,228.68,14.4,23.75,False
S000217,O000217,CarrierA,WH-CENTRAL,2025-06-10,2025-06-15,2025-06-15,770.55,545.22,16.32,0.0,True
S000218,O000218,CarrierD,WH-CENTRAL,2025-10-22,2025-10-24,2025-10-24,757.56,585.34,8.09,0.0,True
S000219,O000219,CarrierA,WH-CENTRAL,2025-03-20,2025-03-24,2025-03-24,553.08,447.22,14.48,0.0,True
S000220,O000220,CarrierB,WH-CENTRAL,2026-01-02,2026-01-05,2026-01-05,922.69,782.45,10.5,0.0,True
S000221,O000221,CarrierA,WH-NORTH,2025-02-28,2025-03-02,2025-03-02,133.64,92.9,7.46,0.0,True
S000222,O000222,CarrierD,WH-NORTH,2025-07-12,2025-07-14,2025-07-15,59.2,67.54,7.45,0.0,True
