snapshot_date,warehouse,sku,on_hand_units,average_daily_demand,inventory_value
2025-01-01,WH-NORTH,SKU-0061,0,0.1613,0.0
2025-01-01,WH-NORTH,SKU-0062,28,1.2581,885.96
2025-01-01,WH-NORTH,SKU-0063,13,1.9677,977.83
2025-01-01,WH-NORTH,SKU-0064,4,1.129,955.88
2025-01-01,WH-NORTH,SKU-0065,13,0.7097,1175.75
2025-01-01,WH-NORTH,SKU-0066,7,0.4194,638.52
2025-01-01,WH-NORTH,SKU-0067,0,0.2581,0.0
2025-01-01,WH-NORTH,SKU-0068,6,0.8065,1208.62
2025-01-01,WH-NORTH,SKU-0069,23,1.1613,867.79
2025-01-01,WH-NORTH,SKU-0070,58,2.4839,9880.39
2025-01-01,WH-NORTH,SKU-0071,39,1.129,3546.33
2025-01-01,WH-NORTH,SKU-0072,38,3.0645,637.87
2025-01-01,WH-NORTH,SKU-0073,30,2.129,1076.46
2025-01-01,WH-NORTH,SKU-0074,19,1.7419,1495.19
2025-01-01,WH-NORTH,SKU-0075,46,1.4516,11272.67
2025-01-01,WH-NORTH,SKU-0076,41,2.129,7738.48
2025-01-01,WH-NORTH,SKU-0077,0,0.0,0.0
2025-01-01,WH-NORTH,SKU-0078,27,1.3226,6117.75
2025-01-01,WH-NORTH,SKU-0079,41,4.3226,5028.42
2025-01-01,WH-NORTH,SKU-0080,19,2.9032,2301.51
2025-01-01,WH-NORTH,SKU-0081,14,0.0,305.07
2025-01-01,WH-NORTH,SKU-0082,43,1.5806,4415.45
2025-01-01,WH-NORTH,SKU-0083,1,0.0,81.61
2025-01-01,WH-NORTH,SKU-0084,7,0.2258,1193.19
2025-01-01,WH-NORTH,SKU-0085,82,3.6452,19705.99
2025-01-01,WH-NORTH,SKU-0086,0,0.0968,0.0
2025-01-01,WH-NORTH,SKU-0087,0,0.4839,0.0
2025-01-01,WH-NORTH,SKU-0088,12,1.2903,1288.32
2025-01-01,WH-NORTH,SKU-0089,64,2.5161,8291.01
2025-01-01,WH-NORTH,SKU-0090,8,2.0968,1439.15
2025-01-01,WH-NORTH,SKU-0091,3,0.5484,722.5
2025-01-01,WH-NORTH,SKU-0092,7,0.1935,634.21
2025-01-01,WH-NORTH,SKU-0093,0,0.0,0.0
2025-01-01,WH-NORTH,SKU-0094,16,1.9355,577.46
2025-01-01,WH-NORTH,SKU-0095,20,1.9032,1450.46
2025-01-01,WH-NORTH,SKU-0096,36,1.3548,423.52
2025-01-01,WH-NORTH,SKU-0097,0,0.0,0.0
2025-01-01,WH-NORTH,SKU-0098,13,2.3871,1833.26
2025-01-01,WH-NORTH,SKU-0099,15,1.2903,2895.17
2025-01-01,WH-NORTH,SKU-0100,51,3.2903,2637.82
2025-01-01,WH-NORTH,SKU-0101,30,1.6452,6658.58
2025-01-01,WH-NORTH,SKU-0102,2,0.4839,130.99
2025-01-01,WH-NORTH,SKU-0103,8,0.0,1633.59
2025-01-01,WH-NORTH,SKU-0104,12,0.9355,928.16
2025-01-01,WH-NORTH,SKU-0105,4,1.6129,909.0
2025-01-01,WH-NORTH,SKU-0106,14,0.6129,2376.14
2025-01-01,WH-NORTH,SKU-0107,0,0.3871,0.0
2025-01-01,WH-NORTH,SKU-0108,14,0.9355,1928.16
2025-01-01,WH-NORTH,SKU-0109,0,0.2581,0.0
2025-01-01,WH-NORTH,SKU-0110,11,0.0,1002.12
2025-01-01,WH-NORTH,SKU-0111,21,1.3226,4096.09
2025-01-01,WH-NORTH,SKU-0112,33,1.2581,4863.29
2025-01-01,WH-NORTH,SKU-0113,0,0.0,0.0
2025-01-01,WH-NORTH,SKU-0114,25,2.6452,2770.35
2025-01-01,WH-NORTH,SKU-0115,8,0.9677,1372.18
2025-01-01,WH-NORTH,SKU-0116,48,2.3226,7141.99
2025-01-01,WH-NORTH,SKU-0117,63,3.129,14512.46
2025-01-01,WH-NORTH,SKU-0118,16,0.0,1599.14
2025-01-01,WH-NORTH,SKU-0119,18,0.6452,2305.41
2025-01-01,WH-NORTH,SKU-0120,43,2.0323,3092.71
2025-01-01,WH-CENTRAL,SKU-0001,0,0.0,0.0
2025-01-01,WH-CENTRAL,SKU-0002,7,0.2903,561.83
2025-01-01,WH-CENTRAL,SKU-0003,0,0.0,0.0
2025-01-01,WH-CENTRAL,SKU-0004,10,0.3226,1310.98
2025-01-01,WH-CENTRAL,SKU-0005,13,0.0,2650.79
2025-01-01,WH-CENTRAL,SKU-0006,3,1.4194,386.56
2025-01-01,WH-CENTRAL,SKU-0007,32,1.2258,7047.57
2025-01-01,WH-CENTRAL,SKU-0008,3,0.5806,18.41
2025-01-01,WH-CENTRAL,SKU-0009,0,0.3226,0.0
2025-01-01,WH-CENTRAL,SKU-0010,11,0.3548,133.16
2025-01-01,WH-CENTRAL,SKU-0011,16,1.1613,2631.64
2025-01-01,WH-CENTRAL,SKU-0012,0,0.0,0.0
2025-01-01,WH-CENTRAL,SKU-0013,19,0.7419,1520.06
2025-01-01,WH-CENTRAL,SKU-0014,2,0.6129,410.0
2025-01-01,WH-CENTRAL,SKU-0015,5,2.5161,494.86
2025-01-01,WH-CENTRAL,SKU-0016,23,1.871,4141.61
2025-01-01,WH-CENTRAL,SKU-0017,6,0.0,79.17
2025-01-01,WH-CENTRAL,SKU-0018,14,2.0,388.39
2025-01-01,WH-CENTRAL,SKU-0019,0,0.0,0.0
2025-01-01,WH-CENTRAL,SKU-0020,2,0.0,464.85
2025-01-01,WH-CENTRAL,SKU-0021,66,3.0,14424.53
2025-01-01,WH-CENTRAL,SKU-0022,40,1.7742,6710.66
2025-01-01,WH-CENTRAL,SKU-0023,0,0.3548,0.0
2025-01-01,WH-CENTRAL,SKU-0024,32,1.5161,7136.62
2025-01-01,WH-CENTRAL,SKU-0025,15,0.0,996.68
2025-01-01,WH-CENTRAL,SKU-0026,57,4.3871,12889.24
2025-01-01,WH-CENTRAL,SKU-0027,10,0.4194,267.03
2025-01-01,WH-CENTRAL,SKU-0028,12,2.1613,1903.84
2025-01-01,WH-CENTRAL,SKU-0029,24,2.6774,4352.3
2025-01-01,WH-CENTRAL,SKU-0030,41,1.7097,2209.67
2025-01-01,WH-CENTRAL,SKU-0031,53,2.8387,12447.34
2025-01-01,WH-CENTRAL,SKU-0032,36,3.129,6320.16
2025-01-01,WH-CENTRAL,SKU-0033,7,0.0,1022.79
2025-01-01,WH-CENTRAL,SKU-0034,20,0.6129,4737.04
2025-01-01,WH-CENTRAL,SKU-0035,32,1.4839,5275.78
2025-01-01,WH-CENTRAL,SKU-0036,13,0.871,3198.48
2025-01-01,WH-CENTRAL,SKU-0037,3,0.0,107.66
2025-01-01,WH-CENTRAL,SKU-0038,0,0.0,0.0
2025-01-01,WH-CENTRAL,SKU-0039,6,0.0,157.94
2025-01-01,WH-CENTRAL,SKU-0040,10,0.9032,2043.63
2025-01-01,WH-CENTRAL,SKU-0041,55,2.9355,629.2
2025-01-01,WH-CENTRAL,SKU-0042,13,0.5484,1071.28
2025-01-01,WH-CENTRAL,SKU-0043,1,0.6774,171.81
2025-01-01,WH-CENTRAL,SKU-0044,0,0.0,0.0
2025-01-01,WH-CENTRAL,SKU-0045,13,1.0645,2931.57
2025-01-01,WH-CENTRAL,SKU-0046,0,0.0,0.0
2025-01-01,WH-CENTRAL,SKU-0047,15,1.8387,2903.42
2025-01-01,WH-CENTRAL,SKU-0048,46,1.871,3018.54
2025-01-01,WH-CENTRAL,SKU-0049,25,0.0,2970.14
2025-01-01,WH-CENTRAL,SKU-0050,35,1.1935,5346.3
2025-01-01,WH-CENTRAL,SKU-0051,1,0.0,147.53
2025-01-01,WH-CENTRAL,SKU-0052,74,2.7742,873.02
2025-01-01,WH-CENTRAL,SKU-0053,4,1.0323,975.15
2025-01-01,WH-CENTRAL,SKU-0054,17,0.7742,3829.01
2025-01-01,WH-CENTRAL,SKU-0055,20,0.4516,916.08
2025-01-01,WH-CENTRAL,SKU-0056,0,0.0,0.0
2025-01-01,WH-CENTRAL,SKU-0057,12,0.9677,795.3
2025-01-01,WH-CENTRAL,SKU-0058,2,0.0,349.51
2025-01-01,WH-CENTRAL,SKU-0059,1,0.0,239.39
2025-01-01,WH-CENTRAL,SKU-0060,18,0.6452,673.4
2025-01-01,WH-CENTRAL,SKU-0061,17,1.3226,1383.24
2025-01-01,WH-CENTRAL,SKU-0062,0,0.0,0.0
2025-01-01,WH-CENTRAL,SKU-0063,10,0.8065,752.18
2025-01-01,WH-CENTRAL,SKU-0064,0,0.0,0.0
2025-01-01,WH-CENTRAL,SKU-0065,0,0.0,0.0
2025-01-01,WH-CENTRAL,SKU-0066,0,0.129,0.0
2025-01-01,WH-CENTRAL,SKU-0067,25,1.0,3102.69
2025-01-01,WH-CENTRAL,SKU-0068,8,0.2903,1611.5
2025-01-01,WH-CENTRAL,SKU-0069,18,1.5161,679.14
2025-01-01,WH-CENTRAL,SKU-0070,12,0.0,2044.22
2025-01-01,WH-CENTRAL,SKU-0071,34,2.2258,3091.67
2025-01-01,WH-CENTRAL,SKU-0072,17,1.3226,285.36
2025-01-01,WH-CENTRAL,SKU-0073,23,2.8065,825.29
2025-01-01,WH-CENTRAL,SKU-0074,2,0.0,157.39
2025-01-01,WH-CENTRAL,SKU-0075,40,1.6452,9802.32
2025-01-01,WH-CENTRAL,SKU-0076,0,0.0,0.0
2025-01-01,WH-CENTRAL,SKU-0077,13,1.2258,579.22
2025-01-01,WH-CENTRAL,SKU-0078,1,1.0645,226.58
2025-01-01,WH-CENTRAL,SKU-0079,1,0.0,122.64
2025-01-01,WH-CENTRAL,SKU-0080,14,3.1613,1695.85
2025-01-01,WH-CENTRAL,SKU-0081,12,0.6129,261.49
2025-01-01,WH-CENTRAL,SKU-0082,52,2.0645,5339.62
2025-01-01,WH-CENTRAL,SKU-0083,20,1.6452,1632.18
2025-01-01,WH-CENTRAL,SKU-0084,43,2.1613,7329.61
2025-01-01,WH-CENTRAL,SKU-0085,14,1.2581,3364.44
2025-01-01,WH-CENTRAL,SKU-0086,3,2.2258,192.34
2025-01-01,WH-CENTRAL,SKU-0087,19,0.1935,988.15
2025-01-01,WH-CENTRAL,SKU-0088,22,1.9355,2361.92
2025-01-01,WH-CENTRAL,SKU-0089,27,1.2258,3497.77
2025-01-01,WH-CENTRAL,SKU-0090,85,4.3871,15290.99
2025-01-01,WH-CENTRAL,SKU-0091,31,0.7742,7465.85
2025-01-01,WH-CENTRAL,SKU-0092,26,0.9355,2355.64
2025-01-01,WH-CENTRAL,SKU-0093,19,1.0968,3024.54
2025-01-01,WH-CENTRAL,SKU-0094,29,1.2581,1046.64
2025-01-01,WH-CENTRAL,SKU-0095,51,2.7419,3698.67
2025-01-01,WH-CENTRAL,SKU-0096,22,1.2258,258.82
2025-01-01,WH-CENTRAL,SKU-0097,22,1.2903,2930.86
2025-01-01,WH-CENTRAL,SKU-0098,8,1.3226,1128.16
2025-01-01,WH-CENTRAL,SKU-0099,82,3.6452,15826.94
2025-01-01,WH-CENTRAL,SKU-0100,65,2.1935,3361.93
2025-01-01,WH-CENTRAL,SKU-0101,17,1.5484,3773.19
2025-01-01,WH-CENTRAL,SKU-0102,45,3.1935,2947.23
2025-01-01,WH-CENTRAL,SKU-0103,32,1.0968,6534.35
2025-01-01,WH-CENTRAL,SKU-0104,0,0.6452,0.0
2025-01-01,WH-CENTRAL,SKU-0105,5,0.1613,1136.25
2025-01-01,WH-CENTRAL,SKU-0106,9,0.4516,1527.52
2025-01-01,WH-CENTRAL,SKU-0107,36,1.4839,3322.04
2025-01-01,WH-CENTRAL,SKU-0108,19,1.0,2616.78
2025-01-01,WH-CENTRAL,SKU-0109,23,0.3226,3495.95
2025-01-01,WH-CENTRAL,SKU-0110,13,0.4839,1184.33
2025-01-01,WH-CENTRAL,SKU-0111,24,2.7419,4681.25
2025-01-01,WH-CENTRAL,SKU-0112,31,1.2903,4568.55
2025-01-01,WH-CENTRAL,SKU-0113,15,0.8387,1675.58
2025-01-01,WH-CENTRAL,SKU-0114,41,2.9355,4543.37
2025-01-01,WH-CENTRAL,SKU-0115,0,0.3226,0.0
2025-01-01,WH-CENTRAL,SKU-0116,50,2.4194,7439.57
2025-01-01,WH-CENTRAL,SKU-0117,7,0.0,1612.5
2025-01-01,WH-CENTRAL,SKU-0118,61,3.3548,6096.71
2025-01-01,WH-CENTRAL,SKU-0119,41,2.7097,5251.22
2025-01-01,WH-CENTRAL,SKU-0120,14,2.1935,1006.93
2025-01-01,WH-SOUTH,SKU-0001,8,0.0,1059.04
2025-01-01,WH-SOUTH,SKU-0002,10,0.871,802.62
2025-01-01,WH-SOUTH,SKU-0003,0,0.0,0.0
2025-01-01,WH-SOUTH,SKU-0004,2,0.2581,262.2
2025-01-01,WH-SOUTH,SKU-0005,2,0.2903,407.81
2025-01-01,WH-SOUTH,SKU-0006,31,1.3226,3994.47
2025-01-01,WH-SOUTH,SKU-0007,35,1.6129,7708.28
2025-01-01,WH-SOUTH,SKU-0008,12,0.9355,73.66
2025-01-01,WH-SOUTH,SKU-0009,9,2.0,656.67
2025-01-01,WH-SOUTH,SKU-0010,18,1.0,217.9
2025-01-01,WH-SOUTH,SKU-0011,11,1.0,1809.25
2025-01-01,WH-SOUTH,SKU-0012,0,0.0,0.0
2025-01-01,WH-SOUTH,SKU-0013,27,2.4516,2160.08
2025-01-01,WH-SOUTH,SKU-0014,31,1.4194,6355.05
2025-01-01,WH-SOUTH,SKU-0015,0,0.0323,0.0
2025-01-01,WH-SOUTH,SKU-0016,4,0.0,720.28
2025-01-01,WH-SOUTH,SKU-0017,3,0.0,39.58
2025-01-01,WH-SOUTH,SKU-0018,6,0.129,166.45
2025-01-01,WH-SOUTH,SKU-0019,0,0.0,0.0
2025-01-01,WH-SOUTH,SKU-0020,0,0.0,0.0
2025-01-01,WH-SOUTH,SKU-0021,55,3.0968,12020.44
2025-01-01,WH-SOUTH,SKU-0022,14,0.0,2348.73
2025-01-01,WH-SOUTH,SKU-0023,4,0.1935,732.91
2025-01-01,WH-SOUTH,SKU-0024,25,0.0,5575.49
2025-01-01,WH-SOUTH,SKU-0025,0,0.0,0.0
2025-01-01,WH-SOUTH,SKU-0026,31,1.4194,7009.94
2025-01-01,WH-SOUTH,SKU-0027,23,1.2903,614.16
2025-01-01,WH-SOUTH,SKU-0028,0,0.0,0.0
2025-01-01,WH-SOUTH,SKU-0029,0,0.0,0.0
2025-01-01,WH-SOUTH,SKU-0030,2,0.0,107.79
2025-01-01,WH-SOUTH,SKU-0031,0,0.0,0.0
2025-01-01,WH-SOUTH,SKU-0032,47,2.5806,8251.32
2025-01-01,WH-SOUTH,SKU-0033,12,0.0,1753.36
2025-01-01,WH-SOUTH,SKU-0034,0,0.0,0.0
2025-01-01,WH-SOUTH,SKU-0035,19,0.9677,3132.49
2025-01-01,WH-SOUTH,SKU-0036,0,0.0,0.0
2025-01-01,WH-SOUTH,SKU-0037,0,0.0,0.0
2025-01-01,WH-SOUTH,SKU-0038,2,0.7419,156.3
2025-01-01,WH-SOUTH,SKU-0039,9,0.0,236.91
2025-01-01,WH-SOUTH,SKU-0040,0,0.0,0.0
2025-01-01,WH-SOUTH,SKU-0041,6,0.7742,68.64
2025-01-01,WH-SOUTH,SKU-0042,2,0.3226,164.81
2025-01-01,WH-SOUTH,SKU-0043,0,0.0,0.0
2025-01-01,WH-SOUTH,SKU-0044,2,0.0,343.72
2025-01-01,WH-SOUTH,SKU-0045,2,0.0,451.01
2025-01-01,WH-SOUTH,SKU-0046,2,0.9032,158.81
2025-01-01,WH-SOUTH,SKU-0047,30,1.6129,5806.85
2025-01-01,WH-SOUTH,SKU-0048,9,0.0,590.58
2025-01-01,WH-SOUTH,SKU-0049,0,0.0,0.0
2025-01-01,WH-SOUTH,SKU-0050,28,0.9032,4277.04
2025-01-01,WH-SOUTH,SKU-0051,40,1.7419,5901.28
2025-01-01,WH-SOUTH,SKU-0052,0,0.0,0.0
2025-01-01,WH-SOUTH,SKU-0053,0,0.0,0.0
2025-01-01,WH-SOUTH,SKU-0054,29,1.1613,6531.84
2025-01-01,WH-SOUTH,SKU-0055,4,0.0,183.22
2025-01-01,WH-SOUTH,SKU-0056,2,0.0,295.62
2025-01-01,WH-SOUTH,SKU-0057,13,0.871,861.58
2025-01-01,WH-SOUTH,SKU-0058,10,0.4839,1747.57
2025-01-01,WH-SOUTH,SKU-0059,0,0.0,0.0
2025-01-01,WH-SOUTH,SKU-0060,5,1.1613,187.06
2025-01-01,WH-SOUTH,SKU-0061,24,1.0,1952.81
2025-01-01,WH-SOUTH,SKU-0062,0,0.0323,0.0
2025-01-01,WH-SOUTH,SKU-0063,54,2.9355,4061.77
2025-01-01,WH-SOUTH,SKU-0064,4,0.0,955.88
2025-01-01,WH-SOUTH,SKU-0065,0,0.0,0.0
2025-01-01,WH-SOUTH,SKU-0066,13,1.0968,1185.83
2025-01-01,WH-SOUTH,SKU-0067,18,1.4194,2233.94
2025-01-01,WH-SOUTH,SKU-0068,79,3.5161,15913.56
2025-01-01,WH-SOUTH,SKU-0069,33,1.3871,1245.09
2025-01-01,WH-SOUTH,SKU-0070,3,0.0,511.05
2025-01-01,WH-SOUTH,SKU-0071,0,0.0,0.0
2025-01-01,WH-SOUTH,SKU-0072,37,1.2581,621.08
2025-01-01,WH-SOUTH,SKU-0073,7,0.0,251.17
2025-01-01,WH-SOUTH,SKU-0074,0,0.0,0.0
2025-01-01,WH-SOUTH,SKU-0075,8,0.7419,1960.46
2025-01-01,WH-SOUTH,SKU-0076,0,0.4516,0.0
2025-01-01,WH-SOUTH,SKU-0077,13,0.9677,579.22
2025-01-01,WH-SOUTH,SKU-0078,1,0.0968,226.58
2025-01-01,WH-SOUTH,SKU-0079,35,1.5484,4292.56
2025-01-01,WH-SOUTH,SKU-0080,0,0.0,0.0
2025-01-01,WH-SOUTH,SKU-0081,0,0.0,0.0
2025-01-01,WH-SOUTH,SKU-0082,1,0.0,102.69
2025-01-01,WH-SOUTH,SKU-0083,29,1.1613,2366.66
2025-01-01,WH-SOUTH,SKU-0084,7,0.5484,1193.19
2025-01-01,WH-SOUTH,SKU-0085,48,2.0,11535.22
2025-01-01,WH-SOUTH,SKU-0086,39,2.0,2500.43
2025-01-01,WH-SOUTH,SKU-0087,67,3.5484,3484.54
2025-01-01,WH-SOUTH,SKU-0088,1,0.7742,107.36
2025-01-01,WH-SOUTH,SKU-0089,0,0.3226,0.0
2025-01-01,WH-SOUTH,SKU-0090,3,0.0,539.68
2025-01-01,WH-SOUTH,SKU-0091,18,0.4194,4335.01
2025-01-01,WH-SOUTH,SKU-0092,10,0.0,906.02
2025-01-01,WH-SOUTH,SKU-0093,1,0.0,159.19
2025-01-01,WH-SOUTH,SKU-0094,1,0.7742,36.09
2025-01-01,WH-SOUTH,SKU-0095,13,0.5806,942.8
2025-01-01,WH-SOUTH,SKU-0096,25,1.2903,294.11
2025-01-01,WH-SOUTH,SKU-0097,0,0.7419,0.0
2025-01-01,WH-SOUTH,SKU-0098,19,1.0968,2679.38
2025-01-01,WH-SOUTH,SKU-0099,0,0.0,0.0
2025-01-01,WH-SOUTH,SKU-0100,7,0.0,362.05
2025-01-01,WH-SOUTH,SKU-0101,0,0.0,0.0
2025-01-01,WH-SOUTH,SKU-0102,16,0.7419,1047.9
2025-01-01,WH-SOUTH,SKU-0103,8,0.8065,1633.59
2025-01-01,WH-SOUTH,SKU-0104,0,0.0,0.0
2025-01-01,WH-SOUTH,SKU-0105,5,0.0,1136.25
2025-01-01,WH-SOUTH,SKU-0106,30,1.1935,5091.73
2025-01-01,WH-SOUTH,SKU-0107,0,0.3871,0.0
2025-01-01,WH-SOUTH,SKU-0108,10,0.0,1377.26
2025-01-01,WH-SOUTH,SKU-0109,33,1.3226,5015.93
2025-01-01,WH-SOUTH,SKU-0110,0,0.0,0.0
2025-01-01,WH-SOUTH,SKU-0111,0,0.0,0.0
2025-01-01,WH-SOUTH,SKU-0112,5,0.6774,736.86
2025-01-01,WH-SOUTH,SKU-0113,0,0.0,0.0
2025-01-01,WH-SOUTH,SKU-0114,0,0.3226,0.0
2025-01-01,WH-SOUTH,SKU-0115,26,2.0323,4459.6
2025-01-01,WH-SOUTH,SKU-0116,0,0.0,0.0
2025-01-01,WH-SOUTH,SKU-0117,15,0.3548,3455.35
2025-01-01,WH-SOUTH,SKU-0118,11,0.5161,1099.41
2025-01-01,WH-SOUTH,SKU-0119,34,1.3548,4354.67
2025-01-01,WH-SOUTH,SKU-0120,3,0.0,215.77
2025-02-01,WH-NORTH,SKU-0001,28,1.6786,3706.63
2025-02-01,WH-NORTH,SKU-0002,12,1.4643,963.14
2025-02-01,WH-NORTH,SKU-0003,16,0.5357,2611.58
2025-02-01,WH-NORTH,SKU-0004,36,1.1786,4719.53
2025-02-01,WH-NORTH,SKU-0005,16,3.2857,3262.51
2025-02-01,WH-NORTH,SKU-0006,70,2.9286,9019.78
2025-02-01,WH-NORTH,SKU-0007,0,0.0,0.0
2025-02-01,WH-NORTH,SKU-0008,39,2.1786,239.38
2025-02-01,WH-NORTH,SKU-0009,0,0.0,0.0
2025-02-01,WH-NORTH,SKU-0010,3,0.1429,36.32
2025-02-01,WH-NORTH,SKU-0011,0,0.0,0.0
2025-02-01,WH-NORTH,SKU-0012,3,0.1071,145.18
2025-02-01,WH-NORTH,SKU-0013,20,2.5714,1600.06
2025-02-01,WH-NORTH,SKU-0014,0,1.0714,0.0
2025-02-01,WH-NORTH,SKU-0015,22,0.7857,2177.39
2025-02-01,WH-NORTH,SKU-0016,8,1.25,1440.56
2025-02-01,WH-NORTH,SKU-0017,57,2.1429,752.09
2025-02-01,WH-NORTH,SKU-0018,16,0.6071,443.87
2025-02-01,WH-NORTH,SKU-0019,0,0.5714,0.0
2025-02-01,WH-NORTH,SKU-0020,13,0.7143,3021.52
2025-02-01,WH-NORTH,SKU-0021,23,1.1071,5026.73
2025-02-01,WH-NORTH,SKU-0022,9,0.0714,1509.9
2025-02-01,WH-NORTH,SKU-0023,29,2.7857,5313.58
2025-02-01,WH-NORTH,SKU-0024,18,1.7143,4014.35
2025-02-01,WH-NORTH,SKU-0025,7,0.7857,465.12
2025-02-01,WH-NORTH,SKU-0026,0,0.0,0.0
2025-02-01,WH-NORTH,SKU-0027,1,0.2857,26.7
2025-02-01,WH-NORTH,SKU-0028,21,3.1071,3331.71
2025-02-01,WH-NORTH,SKU-0029,0,0.0,0.0
2025-02-01,WH-NORTH,SKU-0030,3,1.1071,161.68
2025-02-01,WH-NORTH,SKU-0031,14,0.0,3287.98
2025-02-01,WH-NORTH,SKU-0032,39,2.5714,6846.84
2025-02-01,WH-NORTH,SKU-0033,0,0.0,0.0
2025-02-01,WH-NORTH,SKU-0034,0,1.25,0.0
2025-02-01,WH-NORTH,SKU-0035,14,1.5357,2308.15
2025-02-01,WH-NORTH,SKU-0036,9,0.0,2214.33
2025-02-01,WH-NORTH,SKU-0037,0,0.0,0.0
2025-02-01,WH-NORTH,SKU-0038,18,1.8214,1406.69
2025-02-01,WH-NORTH,SKU-0039,10,0.7143,263.23
2025-02-01,WH-NORTH,SKU-0040,4,0.1786,817.45
2025-02-01,WH-NORTH,SKU-0041,15,1.0714,171.6
2025-02-01,WH-NORTH,SKU-0042,13,0.4286,1071.28
2025-02-01,WH-NORTH,SKU-0043,31,1.8214,5326.25
2025-02-01,WH-NORTH,SKU-0044,11,1.3929,1890.44
2025-02-01,WH-NORTH,SKU-0045,21,1.5357,4735.62
2025-02-01,WH-NORTH,SKU-0046,9,0.5357,714.63
2025-02-01,WH-NORTH,SKU-0047,17,1.5714,3290.55
2025-02-01,WH-NORTH,SKU-0048,28,1.4643,1837.37
2025-02-01,WH-NORTH,SKU-0049,7,0.3571,831.64
