order_line_id,order_id,customer_id,warehouse,order_date,promised_date,sku,supplier_id,units_ordered,units_shipped,unit_price,unit_weight_kg,revenue
OL0000015,O000006,C0075,WH-CENTRAL,2025-07-11,2025-07-13,SKU-0055,SUP014,5,5,83.28,21.74,416.4
OL0000016,O000006,C0075,WH-CENTRAL,2025-07-11,2025-07-13,SKU-0091,SUP009,35,35,437.88,3.8,15325.8
OL0000017,O000006,C0075,WH-CENTRAL,2025-07-11,2025-07-13,SKU-0107,SUP011,6,6,167.78,19.54,1006.68
OL0000018,O000007,C0093,WH-NORTH,2025-11-04,2025-11-07,SKU-0073,SUP003,36,36,65.24,7.96,2348.64
OL0000019,O000008,C0156,WH-CENTRAL,2025-01-11,2025-01-14,SKU-0073,SUP003,17,17,65.24,7.96,1109.08
OL0000020,O000008,C0156,WH-CENTRAL,2025-01-11,2025-01-14,SKU-0083,SUP011,27,27,148.38,10.76,4006.26
OL0000021,O000008,C0156,WH-CENTRAL,2025-01-11,2025-01-14,SKU-0004,SUP005,5,5,238.36,5.13,1191.8
OL0000022,O000009,C0103,WH-CENTRAL,2025-08-14,2025-08-17,SKU-0074,SUP013,29,29,143.08,2.34,4149.32
OL0000023,O000009,C0103,WH-CENTRAL,2025-08-14,2025-08-17,SKU-0115,SUP013,24,24,311.86,9.05,7484.64
OL0000024,O000010,C0125,WH-CENTRAL,2025-04-11,2025-04-13,SKU-0064,SUP015,6,6,434.49,20.1,2606.94
OL0000025,O000011,C0105,WH-SOUTH,2025-09-25,2025-09-30,SKU-0047,SUP005,39,39,351.93,4.73,13725.27
OL0000026,O000011,C0105,WH-SOUTH,2025-09-25,2025-09-30,SKU-0076,SUP009,9,9,343.17,5.77,3088.53
OL0000027,O000012,C0137,WH-CENTRAL,2025-12-28,2026-01-02,SKU-0099,SUP001,25,25,350.93,7.93,8773.25
OL0000028,O000012,C0137,WH-CENTRAL,2025-12-28,2026-01-02,SKU-0059,SUP014,25,25,435.26,22.58,10881.5
OL0000029,O000013,C0171,WH-NORTH,2025-02-03,2025-02-08,SKU-0043,SUP008,24,24,312.39,22.89,7497.36
OL0000030,O000013,C0171,WH-NORTH,2025-02-03,2025-02-08,SKU-0005,SUP010,22,22,370.74,16.29,8156.28
OL0000031,O000014,C0005,WH-NORTH,2025-05-12,2025-05-14,SKU-0024,SUP003,2,1,405.49,2.76,405.49
OL0000032,O000014,C0005,WH-NORTH,2025-05-12,2025-05-14,SKU-0110,SUP011,20,20,165.64,21.74,3312.8
OL0000033,O000014,C0005,WH-NORTH,2025-05-12,2025-05-14,SKU-0062,SUP015,33,33,57.53,17.72,1898.49
OL0000034,O000014,C0005,WH-NORTH,2025-05-12,2025-05-14,SKU-0112,SUP003,12,12,267.95,9.6,3215.4
OL0000035,O000015,C0102,WH-SOUTH,2025-01-09,2025-01-11,SKU-0091,SUP009,13,13,437.88,3.8,5692.44
OL0000036,O000015,C0102,WH-SOUTH,2025-01-09,2025-01-11,SKU-0066,SUP004,34,34,165.85,3.38,5638.9
OL0000037,O000016,C0076,WH-CENTRAL,2025-10-09,2025-10-16,SKU-0070,SUP004,13,13,309.73,10.84,4026.49
OL0000038,O000017,C0078,WH-CENTRAL,2025-02-17,2025-02-22,SKU-0095,SUP014,23,23,131.86,14.87,3032.78
OL0000039,O000017,C0078,WH-CENTRAL,2025-02-17,2025-02-22,SKU-0017,SUP012,33,33,23.99,3.96,791.67
OL0000040,O000017,C0078,WH-CENTRAL,2025-02-17,2025-02-22,SKU-0025,SUP009,24,24,120.81,8.77,2899.44
OL0000041,O000018,C0023,WH-CENTRAL,2025-08-27,2025-09-01,SKU-0022,SUP001,31,31,305.03,14.1,9455.93
OL0000042,O000018,C0023,WH-CENTRAL,2025-08-27,2025-09-01,SKU-0057,SUP004,31,31,120.5,5.93,3735.5
OL0000043,O000018,C0023,WH-CENTRAL,2025-08-27,2025-09-01,SKU-0070,SUP004,39,39,309.73,10.84,12079.47
OL0000044,O000018,C0023,WH-CENTRAL,2025-08-27,2025-09-01,SKU-0083,SUP011,26,26,148.38,10.76,3857.88
OL0000045,O000019,C0060,WH-NORTH,2025-10-11,2025-10-16,SKU-0091,SUP009,31,31,437.88,3.8,13574.28
OL0000046,O000019,C0060,WH-NORTH,2025-10-11,2025-10-16,SKU-0069,SUP001,4,4,68.6,10.78,274.4
OL0000047,O000019,C0060,WH-NORTH,2025-10-11,2025-10-16,SKU-0067,SUP010,31,31,225.65,0.48,6995.15
OL0000048,O000020,C0140,WH-SOUTH,2025-08-21,2025-08-24,SKU-0024,SUP003,1,1,405.49,2.76,405.49
OL0000049,O000020,C0140,WH-SOUTH,2025-08-21,2025-08-24,SKU-0099,SUP001,43,43,350.93,7.93,15089.99
OL0000050,O000020,C0140,WH-SOUTH,2025-08-21,2025-08-24,SKU-0006,SUP009,22,22,234.28,2.96,5154.16
OL0000051,O000021,C0023,WH-CENTRAL,2025-08-06,2025-08-11,SKU-0029,SUP017,13,0,329.72,3.26,0.0
OL0000052,O000021,C0023,WH-CENTRAL,2025-08-06,2025-08-11,SKU-0091,SUP009,19,1,437.88,3.8,437.88
OL0000053,O000022,C0097,WH-NORTH,2025-08-02,2025-08-07,SKU-0022,SUP001,2,2,305.03,14.1,610.06
OL0000054,O000022,C0097,WH-NORTH,2025-08-02,2025-08-07,SKU-0116,SUP018,42,37,270.53,19.96,10009.61
OL0000055,O000023,C0119,WH-CENTRAL,2025-12-02,2025-12-05,SKU-0002,SUP017,34,0,145.93,22.77,0.0
OL0000056,O000023,C0119,WH-CENTRAL,2025-12-02,2025-12-05,SKU-0035,SUP006,38,38,299.76,18.14,11390.88
OL0000057,O000023,C0119,WH-CENTRAL,2025-12-02,2025-12-05,SKU-0098,SUP001,19,19,256.4,4.45,4871.6
OL0000058,O000024,C0144,WH-NORTH,2025-10-01,2025-10-04,SKU-0054,SUP018,5,5,409.52,16.01,2047.6
OL0000059,O000025,C0001,WH-NORTH,2025-08-20,2025-08-22,SKU-0047,SUP005,26,26,351.93,4.73,9150.18
OL0000060,O000025,C0001,WH-NORTH,2025-08-20,2025-08-22,SKU-0062,SUP015,31,31,57.53,17.72,1783.43
OL0000061,O000026,C0079,WH-CENTRAL,2025-07-13,2025-07-18,SKU-0072,SUP014,25,13,30.52,10.39,396.76
OL0000062,O000026,C0079,WH-CENTRAL,2025-07-13,2025-07-18,SKU-0069,SUP001,2,2,68.6,10.78,137.2
OL0000063,O000026,C0079,WH-CENTRAL,2025-07-13,2025-07-18,SKU-0067,SUP010,35,35,225.65,0.48,7897.75
OL0000064,O000026,C0079,WH-CENTRAL,2025-07-13,2025-07-18,SKU-0074,SUP013,35,35,143.08,2.34,5007.8
OL0000065,O000027,C0159,WH-NORTH,2025-03-31,2025-04-03,SKU-0055,SUP014,36,36,83.28,21.74,2998.08
OL0000066,O000028,C0031,WH-CENTRAL,2025-03-30,2025-04-02,SKU-0062,SUP015,14,14,57.53,17.72,805.42
OL0000067,O000028,C0031,WH-CENTRAL,2025-03-30,2025-04-02,SKU-0046,SUP010,4,4,144.37,23.41,577.48
OL0000068,O000029,C0062,WH-SOUTH,2025-08-15,2025-08-20,SKU-0101,SUP016,3,3,403.55,17.64,1210.65
OL0000069,O000030,C0133,WH-CENTRAL,2025-08-17,2025-08-22,SKU-0068,SUP007,5,5,366.25,16.19,1831.25
OL0000070,O000030,C0133,WH-CENTRAL,2025-08-17,2025-08-22,SKU-0022,SUP001,21,21,305.03,14.1,6405.63
OL0000071,O000031,C0144,WH-CENTRAL,2025-05-07,2025-05-14,SKU-0100,SUP015,34,34,94.04,10.94,3197.36
OL0000072,O000031,C0144,WH-CENTRAL,2025-05-07,2025-05-14,SKU-0101,SUP016,25,25,403.55,17.64,10088.75
OL0000073,O000031,C0144,WH-CENTRAL,2025-05-07,2025-05-14,SKU-0016,SUP003,40,40,327.4,10.64,13096.0
OL0000074,O000031,C0144,WH-CENTRAL,2025-05-07,2025-05-14,SKU-0074,SUP013,33,33,143.08,2.34,4721.64
OL0000075,O000032,C0058,WH-NORTH,2025-09-14,2025-09-17,SKU-0048,SUP010,39,39,119.31,16.64,4653.09
OL0000076,O000032,C0058,WH-NORTH,2025-09-14,2025-09-17,SKU-0002,SUP017,26,26,145.93,22.77,3794.18
OL0000077,O000033,C0148,WH-NORTH,2025-11-06,2025-11-13,SKU-0069,SUP001,17,17,68.6,10.78,1166.2
OL0000078,O000033,C0148,WH-NORTH,2025-11-06,2025-11-13,SKU-0032,SUP019,2,2,319.2,7.69,638.4
OL0000079,O000033,C0148,WH-NORTH,2025-11-06,2025-11-13,SKU-0086,SUP007,27,14,116.57,1.9,1631.98
OL0000080,O000034,C0136,WH-SOUTH,2025-08-23,2025-08-26,SKU-0085,SUP002,19,19,436.94,3.52,8301.86
OL0000081,O000034,C0136,WH-SOUTH,2025-08-23,2025-08-26,SKU-0084,SUP020,12,2,309.92,5.59,619.84
OL0000082,O000035,C0099,WH-NORTH,2025-02-05,2025-02-08,SKU-0117,SUP015,26,26,418.83,24.0,10889.58
OL0000083,O000035,C0099,WH-NORTH,2025-02-05,2025-02-08,SKU-0039,SUP009,20,20,47.86,2.08,957.2
OL0000084,O000035,C0099,WH-NORTH,2025-02-05,2025-02-08,SKU-0006,SUP009,8,8,234.28,2.96,1874.24
OL0000085,O000035,C0099,WH-NORTH,2025-02-05,2025-02-08,SKU-0013,SUP008,13,13,145.46,12.28,1890.98
OL0000086,O000036,C0057,WH-CENTRAL,2025-11-21,2025-11-23,SKU-0019,SUP007,28,28,235.04,9.89,6581.12
OL0000087,O000036,C0057,WH-CENTRAL,2025-11-21,2025-11-23,SKU-0105,SUP013,44,44,413.18,6.38,18179.92
OL0000088,O000037,C0159,WH-SOUTH,2025-10-02,2025-10-07,SKU-0054,SUP018,26,26,409.52,16.01,10647.52
OL0000089,O000037,C0159,WH-SOUTH,2025-10-02,2025-10-07,SKU-0059,SUP014,30,30,435.26,22.58,13057.8
OL0000090,O000038,C0029,WH-CENTRAL,2025-12-09,2025-12-12,SKU-0012,SUP018,21,21,87.99,20.68,1847.79
OL0000091,O000038,C0029,WH-CENTRAL,2025-12-09,2025-12-12,SKU-0009,SUP015,6,6,132.66,19.23,795.96
OL0000092,O000038,C0029,WH-CENTRAL,2025-12-09,2025-12-12,SKU-0027,SUP020,25,25,48.55,7.23,1213.75
OL0000093,O000038,C0029,WH-CENTRAL,2025-12-09,2025-12-12,SKU-0006,SUP009,40,40,234.28,2.96,9371.2
OL0000094,O000039,C0150,WH-CENTRAL,2025-04-11,2025-04-16,SKU-0059,SUP014,30,30,435.26,22.58,13057.8
OL0000095,O000039,C0150,WH-CENTRAL,2025-04-11,2025-04-16,SKU-0070,SUP004,22,22,309.73,10.84,6814.06
OL0000096,O000040,C0145,WH-CENTRAL,2025-06-25,2025-06-28,SKU-0075,SUP016,40,40,445.56,0.78,17822.4
OL0000097,O000040,C0145,WH-CENTRAL,2025-06-25,2025-06-28,SKU-0085,SUP002,35,35,436.94,3.52,15292.9
OL0000098,O000040,C0145,WH-CENTRAL,2025-06-25,2025-06-28,SKU-0100,SUP015,9,9,94.04,10.94,846.36
OL0000099,O000040,C0145,WH-CENTRAL,2025-06-25,2025-06-28,SKU-0093,SUP002,38,38,289.43,8.06,10998.34
OL0000100,O000041,C0130,WH-NORTH,2025-09-16,2025-09-19,SKU-0092,SUP015,33,33,164.73,1.67,5436.09
OL0000101,O000041,C0130,WH-NORTH,2025-09-16,2025-09-19,SKU-0006,SUP009,20,20,234.28,2.96,4685.6
OL0000102,O000042,C0145,WH-CENTRAL,2025-09-11,2025-09-16,SKU-0109,SUP019,34,34,276.36,20.41,9396.24
OL0000103,O000042,C0145,WH-CENTRAL,2025-09-11,2025-09-16,SKU-0028,SUP007,41,41,288.46,8.09,11826.86
OL0000104,O000043,C0063,WH-CENTRAL,2025-05-11,2025-05-16,SKU-0083,SUP011,38,38,148.38,10.76,5638.44
OL0000105,O000043,C0063,WH-CENTRAL,2025-05-11,2025-05-16,SKU-0061,SUP005,38,38,147.94,19.01,5621.72
OL0000106,O000043,C0063,WH-CENTRAL,2025-05-11,2025-05-16,SKU-0120,SUP003,11,10,130.77,11.56,1307.7
OL0000107,O000043,C0063,WH-CENTRAL,2025-05-11,2025-05-16,SKU-0034,SUP012,24,24,430.64,11.86,10335.36
OL0000108,O000044,C0023,WH-NORTH,2025-09-06,2025-09-09,SKU-0048,SUP010,27,27,119.31,16.64,3221.37
OL0000109,O000044,C0023,WH-NORTH,2025-09-06,2025-09-09,SKU-0092,SUP015,31,31,164.73,1.67,5106.63
OL0000110,O000045,C0078,WH-CENTRAL,2025-01-07,2025-01-09,SKU-0118,SUP001,6,6,181.72,10.35,1090.32
OL0000111,O000045,C0078,WH-CENTRAL,2025-01-07,2025-01-09,SKU-0068,SUP007,6,6,366.25,16.19,2197.5
OL0000112,O000045,C0078,WH-CENTRAL,2025-01-07,2025-01-09,SKU-0081,SUP013,12,12,39.62,8.32,475.44
OL0000113,O000046,C0062,WH-NORTH,2025-03-14,2025-03-17,SKU-0077,SUP012,31,31,81.01,11.36,2511.31
OL0000114,O000047,C0132,WH-CENTRAL,2025-05-12,2025-05-17,SKU-0028,SUP007,7,7,288.46,8.09,2019.22
OL0000115,O000047,C0132,WH-CENTRAL,2025-05-12,2025-05-17,SKU-0010,SUP006,16,16,22.01,13.05,352.16
OL0000116,O000048,C0060,WH-CENTRAL,2025-08-04,2025-08-07,SKU-0066,SUP004,44,44,165.85,3.38,7297.4
OL0000117,O000049,C0107,WH-NORTH,2025-12-21,2025-12-26,SKU-0064,SUP015,38,38,434.49,20.1,16510.62
OL0000118,O000050,C0081,WH-SOUTH,2025-06-05,2025-06-10,SKU-0105,SUP013,20,2,413.18,6.38,826.36
OL0000119,O000051,C0072,WH-CENTRAL,2025-10-03,2025-10-06,SKU-0042,SUP008,12,12,149.83,4.69,1797.96
OL0000120,O000052,C0046,WH-CENTRAL,2025-01-01,2025-01-03,SKU-0007,SUP010,14,4,400.43,0.7,1601.72
OL0000121,O000052,C0046,WH-CENTRAL,2025-01-01,2025-01-03,SKU-0114,SUP012,20,20,201.48,4.98,4029.6
OL0000122,O000052,C0046,WH-CENTRAL,2025-01-01,2025-01-03,SKU-0036,SUP003,23,23,447.34,17.87,10288.82
OL0000123,O000053,C0035,WH-CENTRAL,2025-11-12,2025-11-17,SKU-0061,SUP005,28,28,147.94,19.01,4142.32
OL0000124,O000053,C0035,WH-CENTRAL,2025-11-12,2025-11-17,SKU-0019,SUP007,10,10,235.04,9.89,2350.4
OL0000125,O000053,C0035,WH-CENTRAL,2025-11-12,2025-11-17,SKU-0058,SUP010,6,6,317.74,7.06,1906.44
OL0000126,O000053,C0035,WH-CENTRAL,2025-11-12,2025-11-17,SKU-0022,SUP001,38,38,305.03,14.1,11591.14
OL0000127,O000054,C0045,WH-NORTH,2025-06-30,2025-07-05,SKU-0105,SUP013,6,6,413.18,6.38,2479.08
OL0000128,O000054,C0045,WH-NORTH,2025-06-30,2025-07-05,SKU-0041,SUP008,24,8,20.8,7.21,166.4
OL0000129,O000054,C0045,WH-NORTH,2025-06-30,2025-07-05,SKU-0040,SUP015,36,36,371.57,19.33,13376.52
OL0000130,O000055,C0026,WH-CENTRAL,2025-11-01,2025-11-03,SKU-0073,SUP003,23,15,65.24,7.96,978.6
OL0000131,O000055,C0026,WH-CENTRAL,2025-11-01,2025-11-03,SKU-0039,SUP009,23,23,47.86,2.08,1100.78
OL0000132,O000055,C0026,WH-CENTRAL,2025-11-01,2025-11-03,SKU-0063,SUP018,7,7,136.76,21.33,957.32
OL0000133,O000056,C0099,WH-SOUTH,2025-11-18,2025-11-23,SKU-0066,SUP004,15,15,165.85,3.38,2487.75
OL0000134,O000056,C0099,WH-SOUTH,2025-11-18,2025-11-23,SKU-0118,SUP001,10,10,181.72,10.35,1817.2
OL0000135,O000056,C0099,WH-SOUTH,2025-11-18,2025-11-23,SKU-0020,SUP007,22,22,422.59,3.67,9296.98
OL0000136,O000056,C0099,WH-SOUTH,2025-11-18,2025-11-23,SKU-0006,SUP009,29,29,234.28,2.96,6794.12
OL0000137,O000057,C0144,WH-CENTRAL,2025-06-30,2025-07-03,SKU-0089,SUP005,27,27,235.54,23.14,6359.58
OL0000138,O000058,C0167,WH-CENTRAL,2025-05-15,2025-05-18,SKU-0120,SUP003,23,23,130.77,11.56,3007.71
OL0000139,O000058,C0167,WH-CENTRAL,2025-05-15,2025-05-18,SKU-0073,SUP003,3,3,65.24,7.96,195.72
OL0000140,O000058,C0167,WH-CENTRAL,2025-05-15,2025-05-18,SKU-0116,SUP018,41,41,270.53,19.96,11091.73
OL0000141,O000058,C0167,WH-CENTRAL,2025-05-15,2025-05-18,SKU-0115,SUP013,41,41,311.86,9.05,12786.26
OL0000142,O000059,C0154,WH-CENTRAL,2025-11-24,2025-11-27,SKU-0105,SUP013,21,21,413.18,6.38,8676.78
OL0000143,O000059,C0154,WH-CENTRAL,2025-11-24,2025-11-27,SKU-0074,SUP013,28,28,143.08,2.34,4006.24
OL0000144,O000059,C0154,WH-CENTRAL,2025-11-24,2025-11-27,SKU-0055,SUP014,39,39,83.28,21.74,3247.92
OL0000145,O000060,C0148,WH-CENTRAL,2025-05-09,2025-05-14,SKU-0055,SUP014,26,26,83.28,21.74,2165.28
OL0000146,O000060,C0148,WH-CENTRAL,2025-05-09,2025-05-14,SKU-0099,SUP001,43,43,350.93,7.93,15089.99
OL0000147,O000061,C0039,WH-SOUTH,2025-01-19,2025-01-22,SKU-0083,SUP011,3,3,148.38,10.76,445.14
OL0000148,O000061,C0039,WH-SOUTH,2025-01-19,2025-01-22,SKU-0007,SUP010,6,6,400.43,0.7,2402.58
OL0000149,O000061,C0039,WH-SOUTH,2025-01-19,2025-01-22,SKU-0087,SUP011,39,39,94.56,5.09,3687.84
OL0000150,O000061,C0039,WH-SOUTH,2025-01-19,2025-01-22,SKU-0084,SUP020,17,17,309.92,5.59,5268.64
OL0000151,O000062,C0001,WH-CENTRAL,2025-06-23,2025-06-30,SKU-0052,SUP016,38,38,21.45,2.83,815.1
OL0000152,O000062,C0001,WH-CENTRAL,2025-06-23,2025-06-30,SKU-0081,SUP013,42,42,39.62,8.32,1664.04
OL0000153,O000062,C0001,WH-CENTRAL,2025-06-23,2025-06-30,SKU-0053,SUP016,7,4,443.25,19.99,1773.0
OL0000154,O000062,C0001,WH-CENTRAL,2025-06-23,2025-06-30,SKU-0093,SUP002,19,19,289.43,8.06,5499.17
OL0000155,O000063,C0064,WH-SOUTH,2025-03-26,2025-03-29,SKU-0020,SUP007,10,10,422.59,3.67,4225.9
OL0000156,O000063,C0064,WH-SOUTH,2025-03-26,2025-03-29,SKU-0119,SUP019,29,29,232.87,11.15,6753.23
OL0000157,O000063,C0064,WH-SOUTH,2025-03-26,2025-03-29,SKU-0109,SUP019,34,34,276.36,20.41,9396.24
OL0000158,O000063,C0064,WH-SOUTH,2025-03-26,2025-03-29,SKU-0075,SUP016,18,3,445.56,0.78,1336.68
OL0000159,O000064,C0146,WH-CENTRAL,2025-10-17,2025-10-22,SKU-0101,SUP016,6,6,403.55,17.64,2421.3
OL0000160,O000064,C0146,WH-CENTRAL,2025-10-17,2025-10-22,SKU-0008,SUP019,21,21,11.16,10.99,234.36
OL0000161,O000064,C0146,WH-CENTRAL,2025-10-17,2025-10-22,SKU-0076,SUP009,31,31,343.17,5.77,10638.27
OL0000162,O000065,C0054,WH-SOUTH,2025-01-03,2025-01-08,SKU-0106,SUP001,37,37,308.59,12.89,11417.83
OL0000163,O000065,C0054,WH-SOUTH,2025-01-03,2025-01-08,SKU-0051,SUP013,19,19,268.24,8.5,5096.56
OL0000164,O000065,C0054,WH-SOUTH,2025-01-03,2025-01-08,SKU-0097,SUP011,23,23,242.22,10.47,5571.06
OL0000165,O000066,C0172,WH-CENTRAL,2025-07-23,2025-07-25,SKU-0094,SUP012,13,13,65.62,2.03,853.06
OL0000166,O000066,C0172,WH-CENTRAL,2025-07-23,2025-07-25,SKU-0118,SUP001,30,30,181.72,10.35,5451.6
OL0000167,O000067,C0078,WH-SOUTH,2025-09-13,2025-09-20,SKU-0022,SUP001,21,21,305.03,14.1,6405.63
OL0000168,O000067,C0078,WH-SOUTH,2025-09-13,2025-09-20,SKU-0069,SUP001,1,1,68.6,10.78,68.6
OL0000169,O000067,C0078,WH-SOUTH,2025-09-13,2025-09-20,SKU-0033,SUP009,13,13,265.66,7.98,3453.58
OL0000170,O000068,C0060,WH-CENTRAL,2025-03-06,2025-03-09,SKU-0013,SUP008,32,32,145.46,12.28,4654.72
OL0000171,O000068,C0060,WH-CENTRAL,2025-03-06,2025-03-09,SKU-0090,SUP001,38,38,327.08,13.16,12429.04
OL0000172,O000068,C0060,WH-CENTRAL,2025-03-06,2025-03-09,SKU-0091,SUP009,18,18,437.88,3.8,7881.84
OL0000173,O000069,C0029,WH-NORTH,2025-09-17,2025-09-22,SKU-0072,SUP014,17,17,30.52,10.39,518.84
OL0000174,O000069,C0029,WH-NORTH,2025-09-17,2025-09-22,SKU-0010,SUP006,34,34,22.01,13.05,748.34
OL0000175,O000070,C0042,WH-CENTRAL,2025-03-08,2025-03-13,SKU-0048,SUP010,24,24,119.31,16.64,2863.44
OL0000176,O000071,C0110,WH-NORTH,2025-03-11,2025-03-18,SKU-0112,SUP003,12,12,267.95,9.6,3215.4
OL0000177,O000071,C0110,WH-NORTH,2025-03-11,2025-03-18,SKU-0010,SUP006,33,33,22.01,13.05,726.33
OL0000178,O000072,C0004,WH-CENTRAL,2025-08-13,2025-08-16,SKU-0099,SUP001,41,41,350.93,7.93,14388.13
OL0000179,O000072,C0004,WH-CENTRAL,2025-08-13,2025-08-16,SKU-0031,SUP015,16,16,427.01,4.27,6832.16
OL0000180,O000072,C0004,WH-CENTRAL,2025-08-13,2025-08-16,SKU-0026,SUP012,24,24,411.14,7.45,9867.36
OL0000181,O000073,C0094,WH-NORTH,2025-07-02,2025-07-07,SKU-0067,SUP010,3,2,225.65,0.48,451.3
OL0000182,O000074,C0129,WH-NORTH,2025-08-11,2025-08-18,SKU-0040,SUP015,15,15,371.57,19.33,5573.55
OL0000183,O000074,C0129,WH-NORTH,2025-08-11,2025-08-18,SKU-0003,SUP016,5,5,296.77,6.55,1483.85
OL0000184,O000074,C0129,WH-NORTH,2025-08-11,2025-08-18,SKU-0094,SUP012,44,44,65.62,2.03,2887.28
OL0000185,O000074,C0129,WH-NORTH,2025-08-11,2025-08-18,SKU-0070,SUP004,43,43,309.73,10.84,13318.39
OL0000186,O000075,C0063,WH-NORTH,2025-03-15,2025-03-20,SKU-0029,SUP017,32,32,329.72,3.26,10551.04
OL0000187,O000075,C0063,WH-NORTH,2025-03-15,2025-03-20,SKU-0044,SUP003,35,35,312.47,21.05,10936.45
OL0000188,O000075,C0063,WH-NORTH,2025-03-15,2025-03-20,SKU-0039,SUP009,2,2,47.86,2.08,95.72
OL0000189,O000075,C0063,WH-NORTH,2025-03-15,2025-03-20,SKU-0038,SUP018,23,23,142.09,2.41,3268.07
OL0000190,O000076,C0147,WH-NORTH,2025-09-15,2025-09-20,SKU-0045,SUP001,44,44,410.01,19.04,18040.44
OL0000191,O000076,C0147,WH-NORTH,2025-09-15,2025-09-20,SKU-0110,SUP011,37,37,165.64,21.74,6128.68
OL0000192,O000076,C0147,WH-NORTH,2025-09-15,2025-09-20,SKU-0103,SUP011,24,24,371.27,9.15,8910.48
OL0000193,O000076,C0147,WH-NORTH,2025-09-15,2025-09-20,SKU-0070,SUP004,33,33,309.73,10.84,10221.09
OL0000194,O000077,C0014,WH-CENTRAL,2025-06-21,2025-06-23,SKU-0055,SUP014,20,20,83.28,21.74,1665.6
OL0000195,O000077,C0014,WH-CENTRAL,2025-06-21,2025-06-23,SKU-0057,SUP004,36,36,120.5,5.93,4338.0
OL0000196,O000078,C0101,WH-CENTRAL,2025-01-27,2025-02-01,SKU-0024,SUP003,41,41,405.49,2.76,16625.09
OL0000197,O000078,C0101,WH-CENTRAL,2025-01-27,2025-02-01,SKU-0096,SUP007,7,7,21.39,22.38,149.73
OL0000198,O000078,C0101,WH-CENTRAL,2025-01-27,2025-02-01,SKU-0015,SUP018,23,23,179.95,2.86,4138.85
OL0000199,O000079,C0162,WH-NORTH,2025-01-08,2025-01-15,SKU-0070,SUP004,40,40,309.73,10.84,12389.2
OL0000200,O000079,C0162,WH-NORTH,2025-01-08,2025-01-15,SKU-0092,SUP015,6,6,164.73,1.67,988.38
OL0000201,O000080,C0112,WH-NORTH,2025-01-12,2025-01-19,SKU-0006,SUP009,25,25,234.28,2.96,5857.0
OL0000202,O000080,C0112,WH-NORTH,2025-01-12,2025-01-19,SKU-0013,SUP008,4,4,145.46,12.28,581.84
OL0000203,O000080,C0112,WH-NORTH,2025-01-12,2025-01-19,SKU-0073,SUP003,27,27,65.24,7.96,1761.48
OL0000204,O000081,C0073,WH-CENTRAL,2025-10-24,2025-10-29,SKU-0019,SUP007,20,20,235.04,9.89,4700.8
OL0000205,O000081,C0073,WH-CENTRAL,2025-10-24,2025-10-29,SKU-0108,SUP008,25,25,250.41,2.45,6260.25
OL0000206,O000081,C0073,WH-CENTRAL,2025-10-24,2025-10-29,SKU-0103,SUP011,10,10,371.27,9.15,3712.7
OL0000207,O000082,C0002,WH-CENTRAL,2025-09-17,2025-09-20,SKU-0115,SUP013,17,17,311.86,9.05,5301.62
OL0000208,O000082,C0002,WH-CENTRAL,2025-09-17,2025-09-20,SKU-0005,SUP010,42,42,370.74,16.29,15571.08
OL0000209,O000082,C0002,WH-CENTRAL,2025-09-17,2025-09-20,SKU-0015,SUP018,42,42,179.95,2.86,7557.9
