order_id,customer_id,warehouse,order_date,promised_date,units_ordered,units_shipped,revenue,carrier,delivery_date,freight_cost,handling_cost,exception_cost,shipment_weight_kg,in_full,on_time,otif,lead_time_days,backorder_units,cost_to_serve,freight_cost_per_kg
O000019,C0060,WH-NORTH,2025-10-11,2025-10-16,66,66,20843.83,CarrierA,2025-10-16,129.35,4.69,0.0,175.8,True,True,True,5,0,134.04,0.7357792946530147
O000020,C0140,WH-SOUTH,2025-08-21,2025-08-24,66,66,20649.64,CarrierB,2025-08-24,277.06,11.88,0.0,408.87,True,True,True,3,0,288.94,0.6776236945728471
O000021,C0023,WH-CENTRAL,2025-08-06,2025-08-11,32,1,437.88,CarrierD,2025-08-13,26.35,16.6,24.69,3.8,False,False,False,7,31,67.64,6.93421052631579
O000022,C0097,WH-NORTH,2025-08-02,2025-08-07,44,39,10619.67,CarrierB,2025-08-07,318.22,9.0,0.0,766.72,False,True,False,5,5,327.22,0.41504069282136896
O000023,C0119,WH-CENTRAL,2025-12-02,2025-12-05,91,57,16262.48,CarrierB,2025-12-05,509.86,16.77,0.0,773.87,False,True,False,3,34,526.63,0.6588445087676225
O000024,C0144,WH-NORTH,2025-10-01,2025-10-04,5,5,2047.6,CarrierA,2025-10-04,65.27,14.16,0.0,80.05,True,True,True,3,0,79.42999999999999,0.815365396627108
O000025,C0001,WH-NORTH,2025-08-20,2025-08-22,57,57,10933.61,CarrierC,2025-08-24,425.4,15.49,36.25,672.3,True,False,False,4,0,477.14,0.6327532351628737
O000026,C0079,WH-CENTRAL,2025-07-13,2025-07-18,97,85,13439.51,CarrierB,2025-07-18,167.73,5.32,0.0,255.33,False,True,False,5,12,173.04999999999998,0.6569145811303019
O000027,C0159,WH-NORTH,2025-03-31,2025-04-03,36,36,2998.08,CarrierC,2025-04-08,628.23,12.07,46.45,782.64,True,False,False,8,0,686.7500000000001,0.80270622508433
O000028,C0031,WH-CENTRAL,2025-03-30,2025-04-02,18,18,1382.9,CarrierB,2025-04-02,187.68,11.76,0.0,341.72,True,True,True,3,0,199.44,0.5492215849233291
O000029,C0062,WH-SOUTH,2025-08-15,2025-08-20,3,3,1210.65,CarrierA,2025-08-21,45.38,4.11,59.76,52.92,True,False,False,6,0,109.25,0.8575207860922147
O000030,C0133,WH-CENTRAL,2025-08-17,2025-08-22,26,26,8236.880000000001,CarrierA,2025-08-22,193.35,8.04,0.0,377.05,True,True,True,5,0,201.39,0.5127967113114971
O000031,C0144,WH-CENTRAL,2025-05-07,2025-05-14,132,132,31103.75,CarrierA,2025-05-16,604.85,5.05,49.36,1315.78,True,False,False,9,0,659.26,0.4596893097630303
O000032,C0058,WH-NORTH,2025-09-14,2025-09-17,65,65,8447.27,CarrierA,2025-09-17,658.89,16.72,0.0,1240.98,True,True,True,3,0,675.61,0.5309432867572402
O000033,C0148,WH-NORTH,2025-11-06,2025-11-13,46,33,3436.58,CarrierB,2025-11-13,125.58,8.25,0.0,225.24,False,True,False,7,13,133.82999999999998,0.5575386254661694
O000034,C0136,WH-SOUTH,2025-08-23,2025-08-26,31,21,8921.7,CarrierA,2025-08-26,54.53,9.89,0.0,78.06,False,True,False,3,10,64.42,0.6985652062516013
O000035,C0099,WH-NORTH,2025-02-05,2025-02-08,67,67,15612.0,CarrierB,2025-02-13,640.34,9.97,38.22,848.92,True,False,False,8,0,688.5300000000001,0.7542995806436414
O000036,C0057,WH-CENTRAL,2025-11-21,2025-11-23,72,72,24761.039999999997,CarrierB,2025-11-23,432.26,15.72,0.0,557.64,True,True,True,2,0,447.98,0.7751596011763862
O000037,C0159,WH-SOUTH,2025-10-02,2025-10-07,56,56,23705.32,CarrierC,2025-10-07,914.88,8.98,0.0,1093.66,True,True,True,5,0,923.86,0.836530548799444
O000038,C0029,WH-CENTRAL,2025-12-09,2025-12-12,92,92,13228.7,CarrierD,2025-12-12,532.1,4.59,0.0,848.81,True,True,True,3,0,536.69,0.6268776286801523
O000039,C0150,WH-CENTRAL,2025-04-11,2025-04-16,52,52,19871.86,CarrierC,2025-04-16,544.27,10.97,0.0,915.88,True,True,True,5,0,555.24,0.5942590732410359
O000040,C0145,WH-CENTRAL,2025-06-25,2025-06-28,122,122,44960.0,CarrierC,2025-06-28,209.67,7.25,0.0,559.14,True,True,True,3,0,216.92,0.37498658654362055
O000041,C0130,WH-NORTH,2025-09-16,2025-09-19,53,53,10121.69,CarrierC,2025-09-21,103.87,16.97,5.51,114.31,True,False,False,5,0,126.35000000000001,0.9086694077508529
O000042,C0145,WH-CENTRAL,2025-09-11,2025-09-16,75,75,21223.1,CarrierC,2025-09-16,496.16,12.77,0.0,1025.63,True,True,True,5,0,508.93,0.4837612004329046
O000043,C0063,WH-CENTRAL,2025-05-11,2025-05-16,111,110,22903.22,CarrierC,2025-05-16,1152.96,13.72,0.0,1531.5,False,True,False,5,1,1166.68,0.7528305582761998
O000044,C0023,WH-NORTH,2025-09-06,2025-09-09,58,58,8328.0,CarrierD,2025-09-09,270.4,10.15,0.0,501.05,True,True,True,3,0,280.54999999999995,0.5396666999301466
O000045,C0078,WH-CENTRAL,2025-01-07,2025-01-09,24,24,3763.2599999999998,CarrierA,2025-01-09,137.67,6.33,0.0,259.08,True,True,True,2,0,144.0,0.5313802686428902
O000046,C0062,WH-NORTH,2025-03-14,2025-03-17,31,31,2511.31,CarrierB,2025-03-17,270.29,16.47,0.0,352.16,True,True,True,3,0,286.76,0.7675204452521581
O000047,C0132,WH-CENTRAL,2025-05-12,2025-05-17,23,23,2371.38,CarrierD,2025-05-17,245.7,7.26,0.0,265.43,True,True,True,5,0,252.95999999999998,0.9256677843499227
O000048,C0060,WH-CENTRAL,2025-08-04,2025-08-07,44,44,7297.4,CarrierA,2025-08-08,153.27,15.81,11.79,148.72,True,False,False,4,0,180.87,1.0305944055944056
O000049,C0107,WH-NORTH,2025-12-21,2025-12-26,38,38,16510.62,CarrierA,2025-12-26,321.14,8.86,0.0,763.8,True,True,True,5,0,330.0,0.42045037968054466
O000050,C0081,WH-SOUTH,2025-06-05,2025-06-10,20,2,826.36,CarrierA,2025-06-10,26.76,4.51,0.0,12.76,False,True,False,5,18,31.270000000000003,2.09717868338558
O000051,C0072,WH-CENTRAL,2025-10-03,2025-10-06,12,12,1797.96,CarrierD,2025-10-06,38.95,7.02,0.0,56.28,True,True,True,3,0,45.97,0.6920753375977257
O000052,C0046,WH-CENTRAL,2025-01-01,2025-01-03,57,47,15920.14,CarrierC,2025-01-03,205.37,7.58,0.0,513.41,False,True,False,2,10,212.95000000000002,0.4000116865662921
O000053,C0035,WH-CENTRAL,2025-11-12,2025-11-17,82,82,19990.3,CarrierA,2025-11-17,547.53,17.96,0.0,1209.34,True,True,True,5,0,565.49,0.4527510873699704
O000054,C0045,WH-NORTH,2025-06-30,2025-07-05,66,50,16022.0,CarrierD,2025-07-07,402.28,16.6,40.46,791.84,False,False,False,7,16,459.34,0.5080319256415436
O000055,C0026,WH-CENTRAL,2025-11-01,2025-11-03,53,45,3036.7,CarrierD,2025-11-05,187.3,9.38,41.91,316.55,False,False,False,4,8,238.59,0.5916916758805876
O000056,C0099,WH-SOUTH,2025-11-18,2025-11-23,76,76,20396.05,CarrierB,2025-11-23,134.09,13.6,0.0,320.78,True,True,True,5,0,147.69,0.4180123449092837
O000057,C0144,WH-CENTRAL,2025-06-30,2025-07-03,27,27,6359.58,CarrierC,2025-07-03,392.64,14.66,0.0,624.78,True,True,True,3,0,407.3,0.6284452127148756
O000058,C0167,WH-CENTRAL,2025-05-15,2025-05-18,108,108,27081.42,CarrierC,2025-05-18,910.19,6.06,0.0,1479.17,True,True,True,3,0,916.25,0.6153383316319287
O000059,C0154,WH-CENTRAL,2025-11-24,2025-11-27,88,88,15930.94,CarrierB,2025-11-27,834.73,16.27,0.0,1047.36,True,True,True,3,0,851.0,0.796984799877788
O000060,C0148,WH-CENTRAL,2025-05-09,2025-05-14,69,69,17255.27,CarrierC,2025-05-14,707.95,16.84,0.0,906.23,True,True,True,5,0,724.7900000000001,0.781203447248491
O000061,C0039,WH-SOUTH,2025-01-19,2025-01-22,65,65,11804.2,CarrierA,2025-01-22,200.35,8.45,0.0,330.02,True,True,True,3,0,208.79999999999998,0.6070844191261136
O000062,C0001,WH-CENTRAL,2025-06-23,2025-06-30,106,103,9751.31,CarrierA,2025-06-30,590.42,13.9,0.0,690.08,False,True,False,7,3,604.3199999999999,0.8555819615117086
O000063,C0064,WH-SOUTH,2025-03-26,2025-03-29,91,76,21712.05,CarrierB,2025-03-29,767.13,12.5,0.0,1056.33,False,True,False,3,15,779.63,0.7262219192865866
O000064,C0146,WH-CENTRAL,2025-10-17,2025-10-22,58,58,13293.93,CarrierC,2025-10-22,357.87,8.21,0.0,515.5,True,True,True,5,0,366.08,0.6942192046556741
O000065,C0054,WH-SOUTH,2025-01-03,2025-01-08,79,79,22085.45,CarrierD,2025-01-08,339.3,5.68,0.0,879.24,True,True,True,5,0,344.98,0.3859014603521223
O000066,C0172,WH-CENTRAL,2025-07-23,2025-07-25,43,43,6304.66,CarrierC,2025-07-25,159.66,9.66,0.0,336.89,True,True,True,2,0,169.32,0.4739232390394491
O000067,C0078,WH-SOUTH,2025-09-13,2025-09-20,35,35,9927.81,CarrierB,2025-09-25,223.22,12.33,31.65,410.62,True,False,False,12,0,267.2,0.5436169694608154
O000068,C0060,WH-CENTRAL,2025-03-06,2025-03-09,88,88,24965.600000000002,CarrierA,2025-03-10,536.33,13.45,21.38,961.44,True,False,False,4,0,571.1600000000001,0.5578403228490597
O000069,C0029,WH-NORTH,2025-09-17,2025-09-22,51,51,1267.18,CarrierB,2025-09-22,410.33,8.92,0.0,620.33,True,True,True,5,0,419.25,0.6614705076330339
O000070,C0042,WH-CENTRAL,2025-03-08,2025-03-13,24,24,2863.44,CarrierC,2025-03-13,369.67,9.12,0.0,399.36,True,True,True,5,0,378.79,0.9256560496794872
O000071,C0110,WH-NORTH,2025-03-11,2025-03-18,45,45,3941.73,CarrierB,2025-03-18,321.86,4.58,0.0,545.85,True,True,True,7,0,326.44,0.5896491710176789
O000072,C0004,WH-CENTRAL,2025-08-13,2025-08-16,81,81,31087.65,CarrierA,2025-08-16,455.46,9.54,0.0,572.25,True,True,True,3,0,465.0,0.795910878112713
O000073,C0094,WH-NORTH,2025-07-02,2025-07-07,3,2,451.3,CarrierB,2025-07-07,23.52,16.85,0.0,0.96,False,True,False,5,1,40.370000000000005,24.5
O000074,C0129,WH-NORTH,2025-08-11,2025-08-18,107,107,23263.07,CarrierA,2025-08-18,438.39,11.38,0.0,878.14,True,True,True,7,0,449.77,0.4992256360033708
O000075,C0063,WH-NORTH,2025-03-15,2025-03-20,92,92,24851.280000000002,CarrierD,2025-03-20,697.77,4.08,0.0,900.66,True,True,True,5,0,701.85,0.7747318633002465
O000076,C0147,WH-NORTH,2025-09-15,2025-09-20,138,138,43300.69,CarrierC,2025-09-23,1194.72,14.64,27.37,2219.46,True,False,False,8,0,1236.73,0.5382930983212133
O000077,C0014,WH-CENTRAL,2025-06-21,2025-06-23,56,56,6003.6,CarrierC,2025-06-23,447.04,10.62,0.0,648.28,True,True,True,2,0,457.66,0.6895785771580182
O000078,C0101,WH-CENTRAL,2025-01-27,2025-02-01,71,71,20913.67,CarrierB,2025-02-01,226.6,6.23,0.0,335.6,True,True,True,5,0,232.82999999999998,0.6752085816448152
O000079,C0162,WH-NORTH,2025-01-08,2025-01-15,46,46,13377.58,CarrierB,2025-01-15,295.95,12.6,0.0,443.62,True,True,True,7,0,308.55,0.6671250169063613
O000080,C0112,WH-NORTH,2025-01-12,2025-01-19,56,56,8200.32,CarrierB,2025-01-19,298.18,5.48,0.0,338.04,True,True,True,7,0,303.66,0.8820849603597207
O000081,C0073,WH-CENTRAL,2025-10-24,2025-10-29,55,55,14673.75,CarrierA,2025-10-30,204.78,6.18,17.76,350.55,True,False,False,6,0,228.72,0.5841677364142063
O000082,C0002,WH-CENTRAL,2025-09-17,2025-09-20,101,101,28430.6,CarrierC,2025-09-20,672.06,9.24,0.0,958.15,True,True,True,3,0,681.3,0.7014141835829463
O000083,C0094,WH-CENTRAL,2025-11-26,2025-12-01,76,76,13286.64,CarrierA,2025-12-01,794.55,12.9,0.0,998.79,True,True,True,5,0,807.4499999999999,0.795512570209954
O000084,C0007,WH-CENTRAL,2025-10-13,2025-10-15,110,48,16625.71,CarrierB,2025-10-15,497.24,13.44,0.0,628.78,False,True,False,2,62,510.68,0.7908012341359458
O000085,C0011,WH-CENTRAL,2025-02-08,2025-02-13,49,49,12165.23,CarrierA,2025-02-13,327.84,12.91,0.0,356.82,True,True,True,5,0,340.75,0.9187825794518244
O000086,C0126,WH-CENTRAL,2025-10-12,2025-10-19,63,60,22633.63,CarrierA,2025-10-19,659.75,13.78,0.0,801.35,False,True,False,7,3,673.53,0.8232981843139702
O000087,C0117,WH-NORTH,2025-09-17,2025-09-24,93,71,19420.86,CarrierD,2025-09-24,330.03,4.84,0.0,447.76,False,True,False,7,22,334.86999999999995,0.7370689655172413
O000088,C0101,WH-SOUTH,2025-10-02,2025-10-05,69,69,19275.95,CarrierB,2025-10-08,164.96,17.68,33.2,232.75,True,False,False,6,0,215.84000000000003,0.7087432867883996
O000089,C0025,WH-CENTRAL,2025-12-16,2025-12-21,112,106,25948.65,CarrierB,2025-12-23,304.57,14.94,19.19,683.45,False,False,False,7,6,338.7,0.44563611090789373
O000090,C0003,WH-SOUTH,2025-09-16,2025-09-19,122,122,30062.190000000002,CarrierA,2025-09-19,684.21,6.18,0.0,900.59,True,True,True,3,0,690.39,0.7597352846467316
O000091,C0010,WH-NORTH,2025-04-27,2025-05-04,64,64,4153.110000000001,CarrierC,2025-05-04,384.98,11.48,0.0,971.3,True,True,True,7,0,396.46000000000004,0.39635539997940905
O000092,C0092,WH-CENTRAL,2025-01-26,2025-02-02,14,14,3945.45,CarrierD,2025-02-03,128.99,16.61,18.37,127.98,True,False,False,8,0,163.97000000000003,1.0078918581028287
O000093,C0019,WH-NORTH,2025-10-25,2025-10-30,35,35,4786.6,CarrierA,2025-10-30,444.33,5.66,0.0,746.55,True,True,True,5,0,449.99,0.5951778179626281
O000094,C0086,WH-NORTH,2025-04-26,2025-04-28,51,51,8147.88,CarrierA,2025-04-29,712.72,12.91,56.19,911.4,True,False,False,3,0,781.8199999999999,0.7820057055080097
O000095,C0088,WH-CENTRAL,2025-12-20,2025-12-27,50,50,9832.24,CarrierA,2025-12-26,136.28,17.74,0.0,286.81,True,True,True,6,0,154.02,0.4751577699522332
O000096,C0070,WH-SOUTH,2025-09-11,2025-09-16,63,63,9006.01,CarrierB,2025-09-16,406.03,5.86,0.0,598.2,True,True,True,5,0,411.89,0.6787529254429956
O000097,C0134,WH-SOUTH,2025-08-26,2025-08-31,46,46,18690.99,CarrierB,2025-09-02,103.45,4.65,19.39,145.06,True,False,False,7,0,127.49000000000001,0.7131531779953123
O000098,C0095,WH-SOUTH,2025-01-08,2025-01-11,47,47,2547.43,CarrierB,2025-01-12,306.04,15.28,23.53,434.95,True,False,False,4,0,344.85,0.7036211058742384
O000099,C0102,WH-NORTH,2025-11-26,2025-12-03,135,135,21166.96,CarrierB,2025-12-05,1132.39,8.42,53.1,1610.22,True,False,False,9,0,1193.91,0.7032517295773248
O000100,C0061,WH-NORTH,2025-04-23,2025-04-26,22,22,9214.26,CarrierA,2025-04-26,449.55,12.87,0.0,528.0,True,True,True,3,0,462.42,0.8514204545454546
O000101,C0011,WH-CENTRAL,2025-04-25,2025-04-30,43,43,2805.32,CarrierA,2025-05-01,230.89,5.32,24.45,342.28,True,False,False,6,0,260.65999999999997,0.6745646838845389
O000102,C0013,WH-CENTRAL,2025-06-09,2025-06-12,28,28,9167.2,CarrierA,2025-06-12,266.1,9.8,0.0,297.92,True,True,True,3,0,275.90000000000003,0.8931928034371643
O000103,C0161,WH-CENTRAL,2025-11-13,2025-11-16,44,12,2554.2799999999997,CarrierA,2025-11-19,153.01,8.89,40.75,192.64,False,False,False,6,32,202.64999999999998,0.7942794850498339
O000104,C0006,WH-CENTRAL,2025-07-28,2025-07-31,64,64,10027.61,CarrierC,2025-07-31,398.65,14.6,0.0,487.07,True,True,True,3,0,413.25,0.8184655183033239
O000105,C0029,WH-NORTH,2025-09-24,2025-09-29,106,76,3833.4900000000002,CarrierB,2025-09-29,165.83,8.62,0.0,336.76,False,True,False,5,30,174.45000000000002,0.4924278417864355
O000106,C0020,WH-NORTH,2025-09-18,2025-09-21,23,23,9209.89,CarrierC,2025-09-21,40.29,13.2,0.0,16.1,True,True,True,3,0,53.489999999999995,2.502484472049689
O000107,C0102,WH-CENTRAL,2025-03-04,2025-03-09,43,43,11321.37,CarrierD,2025-03-09,221.06,5.36,0.0,325.4,True,True,True,5,0,226.42000000000002,0.6793484941610326
O000108,C0012,WH-CENTRAL,2025-12-02,2025-12-07,59,59,16591.620000000003,CarrierC,2025-12-07,309.62,15.21,0.0,609.05,True,True,True,5,0,324.83,0.5083654872342173
O000109,C0102,WH-CENTRAL,2025-11-14,2025-11-16,39,39,7598.49,CarrierC,2025-11-16,291.42,7.22,0.0,650.69,True,True,True,2,0,298.64000000000004,0.44786303769844316
O000110,C0021,WH-SOUTH,2025-07-28,2025-07-31,26,26,7676.75,CarrierC,2025-07-31,134.27,17.5,0.0,189.99,True,True,True,3,0,151.77,0.70672140638981
O000111,C0015,WH-CENTRAL,2025-10-12,2025-10-14,65,65,10263.970000000001,CarrierC,2025-10-16,839.09,13.91,52.8,1091.86,True,False,False,4,0,905.8,0.7684959610206438
O000112,C0072,WH-SOUTH,2025-12-01,2025-12-04,56,56,8144.96,CarrierA,2025-12-04,337.11,9.27,0.0,637.44,True,True,True,3,0,346.38,0.5288497740963856
O000113,C0144,WH-CENTRAL,2025-07-13,2025-07-15,26,26,5799.349999999999,CarrierB,2025-07-15,156.72,10.38,0.0,362.93,True,True,True,2,0,167.1,0.4318188080346072
O000114,C0064,WH-NORTH,2025-06-27,2025-07-02,111,111,33248.490000000005,CarrierC,2025-07-01,763.7,14.42,0.0,1080.58,True,True,True,4,0,778.12,0.7067500786614597
O000115,C0077,WH-CENTRAL,2025-11-19,2025-11-22,24,24,5050.59,CarrierA,2025-11-22,193.38,14.3,0.0,206.1,True,True,True,3,0,207.68,0.9382823871906841
O000116,C0114,WH-CENTRAL,2025-02-07,2025-02-14,39,39,7939.44,CarrierA,2025-02-14,197.95,10.38,0.0,388.71,True,True,True,7,0,208.32999999999998,0.5092485400427054
O000117,C0018,WH-CENTRAL,2025-04-18,2025-04-23,55,55,15261.779999999999,CarrierB,2025-04-24,424.76,10.27,7.11,548.67,True,False,False,6,0,442.14,0.7741629759235971
O000118,C0168,WH-SOUTH,2025-03-14,2025-03-19,4,4,1652.72,CarrierB,2025-03-20,45.12,9.62,28.6,25.52,True,False,False,6,0,83.34,1.7680250783699059
O000119,C0110,WH-CENTRAL,2025-01-23,2025-01-26,35,35,7708.4,CarrierB,2025-01-29,36.7,7.81,24.83,39.55,True,False,False,6,0,69.34,0.9279393173198485
O000120,C0079,WH-CENTRAL,2025-03-15,2025-03-20,42,1,327.08,CarrierB,2025-03-20,29.29,8.91,0.0,13.16,False,True,False,5,41,38.2,2.2256838905775074
O000121,C0016,WH-SOUTH,2025-08-27,2025-08-30,75,75,11617.75,CarrierB,2025-08-30,791.79,10.98,0.0,1069.15,True,True,True,3,0,802.77,0.7405789645980451
O000122,C0128,WH-SOUTH,2025-11-02,2025-11-07,80,80,19208.16,CarrierC,2025-11-07,707.43,7.38,0.0,864.68,True,True,True,5,0,714.81,0.8181408150992274
O000123,C0167,WH-NORTH,2025-01-25,2025-02-01,63,63,22482.42,CarrierB,2025-02-01,640.89,8.88,0.0,983.18,True,True,True,7,0,649.77,0.6518541874326166
O000124,C0164,WH-CENTRAL,2025-10-17,2025-10-22,95,95,16923.91,CarrierC,2025-10-27,430.07,12.93,51.29,484.54,True,False,False,10,0,494.29,0.8875841003838691
O000125,C0071,WH-CENTRAL,2025-10-04,2025-10-09,23,23,1915.44,CarrierC,2025-10-09,408.34,11.74,0.0,500.02,True,True,True,5,0,420.08,0.8166473341066357
O000126,C0158,WH-CENTRAL,2025-05-09,2025-05-11,105,105,24277.780000000002,CarrierA,2025-05-11,498.01,16.93,0.0,1073.97,True,True,True,2,0,514.9399999999999,0.46370941460189763
O000127,C0001,WH-SOUTH,2025-06-22,2025-06-29,82,82,15966.3,CarrierC,2025-06-29,414.73,14.75,0.0,846.85,True,True,True,7,0,429.48,0.48973253822991086
O000128,C0180,WH-CENTRAL,2025-05-02,2025-05-09,37,37,13960.87,CarrierC,2025-05-08,156.66,11.6,0.0,324.15,True,True,True,6,0,168.26,0.48329477093937995
O000129,C0070,WH-CENTRAL,2025-03-29,2025-04-05,23,23,4820.0,CarrierC,2025-04-07,237.79,6.36,46.75,293.56,True,False,False,9,0,290.9,0.8100218013353317
O000130,C0046,WH-NORTH,2025-08-21,2025-08-24,71,71,15175.55,CarrierC,2025-08-24,521.01,15.68,0.0,716.53,True,True,True,3,0,536.6899999999999,0.7271293595522867
O000131,C0135,WH-NORTH,2025-05-06,2025-05-11,39,39,17023.08,CarrierD,2025-05-12,209.12,5.49,19.79,409.0,True,False,False,6,0,234.4,0.5112958435207824
O000132,C0127,WH-SOUTH,2025-11-17,2025-11-24,64,64,9291.34,CarrierA,2025-11-25,587.48,11.88,11.46,811.96,True,False,False,8,0,610.82,0.7235331789743337
O000133,C0067,WH-SOUTH,2025-04-27,2025-05-02,41,41,11826.86,CarrierB,2025-05-03,232.34,8.87,53.86,331.69,True,False,False,6,0,295.07,0.7004733335343243
O000134,C0012,WH-SOUTH,2025-09-30,2025-10-03,113,97,30191.28,CarrierB,2025-10-03,730.82,15.96,0.0,1148.92,False,True,False,3,16,746.7800000000001,0.636093026494447
O000135,C0035,WH-CENTRAL,2025-08-05,2025-08-08,29,29,12671.26,CarrierC,2025-08-08,73.52,4.27,0.0,102.08,True,True,True,3,0,77.78999999999999,0.7202194357366771
O000136,C0064,WH-SOUTH,2025-07-05,2025-07-07,115,115,37530.95,CarrierA,2025-07-07,623.51,10.35,0.0,782.6,True,True,True,2,0,633.86,0.7967160746230514
O000137,C0152,WH-CENTRAL,2025-04-26,2025-05-01,59,59,22911.59,CarrierA,2025-05-02,797.52,15.64,39.63,930.23,True,False,False,6,0,852.79,0.8573363576749836
O000138,C0063,WH-CENTRAL,2025-12-18,2025-12-23,20,20,4320.2,CarrierB,2025-12-25,54.67,7.21,37.51,62.4,True,False,False,7,0,99.39,0.8761217948717949
O000139,C0084,WH-CENTRAL,2025-07-14,2025-07-19,63,63,18438.21,CarrierB,2025-07-19,142.83,16.78,0.0,262.5,True,True,True,5,0,159.61,0.5441142857142858
O000140,C0164,WH-NORTH,2025-08-12,2025-08-17,65,65,18699.41,CarrierB,2025-08-17,853.5,12.5,0.0,1013.41,True,True,True,5,0,866.0,0.8422060173079011
O000141,C0119,WH-NORTH,2025-07-30,2025-08-04,26,26,4678.7,CarrierA,2025-08-04,72.57,12.54,0.0,74.36,True,True,True,5,0,85.10999999999999,0.9759279182356104
O000142,C0020,WH-CENTRAL,2025-03-03,2025-03-10,80,80,17339.04,CarrierD,2025-03-10,317.3,10.48,0.0,391.8,True,True,True,7,0,327.78000000000003,0.8098519652884124
O000143,C0024,WH-NORTH,2025-06-20,2025-06-23,4,4,1652.72,CarrierC,2025-06-23,39.97,10.3,0.0,25.52,True,True,True,3,0,50.269999999999996,1.5662225705329154
O000144,C0162,WH-CENTRAL,2025-08-01,2025-08-03,20,17,3082.2200000000003,CarrierD,2025-08-03,282.39,8.37,0.0,386.88,False,True,False,2,3,290.76,0.7299162531017369
O000145,C0100,WH-CENTRAL,2025-02-21,2025-02-26,47,47,10550.31,CarrierA,2025-02-26,123.77,17.64,0.0,124.39,True,True,True,5,0,141.41,0.9950156765013264
O000146,C0115,WH-CENTRAL,2025-07-03,2025-07-08,64,64,23579.46,CarrierC,2025-07-08,413.88,9.04,0.0,887.67,True,True,True,5,0,422.92,0.4662543512791916
